# WIEN2k Zinc blende structures- a0, B0, B'0    Kevin Garrity


AgS    23.14595 58.83639 5.673
AlP    20.90164 82.50173 3.714
AuS    22.73188 75.08151 6.189
BaS    43.71589 24.95271 -2.862
BeS    14.51660 93.00222 3.807
BP    11.77000 161.68991 3.596
CaS    31.36946 38.98093 3.972
CdS    26.10024 53.67571 4.585
CoS    15.33789 126.50462 5.381
CrS    16.50590 121.67898 3.207
CsBr    69.15310 8.47458 -4.204
CSi    10.50197 212.71678 3.692
CuS    17.77147 84.39600 4.397
FeS    15.12759 138.36361 4.707
GaAs    23.73390 60.02863 5.161
GaBi    33.88067 36.29721 4.977
GaN    11.74394 172.53433 4.360
GaP    20.87406 77.14480 4.303
GaSb    30.03448 45.28038 4.730
GeSn    30.04464 45.61633 4.264
HfS    22.97603 95.87768 5.346
HgS    27.07583 53.17365 -0.814
InP    26.46363 59.80775 4.597
IrS    18.38514 153.64959 4.848
LaP    36.55067 45.95813 1.301
LiBr    25.77205 19.47541 3.254
MgS    23.16051 55.17329 3.970
MnS    15.49331 136.06125 5.460
MoS    19.05529 136.54769 4.580
NaBr    36.49439 13.98951 7.383
NaCl    30.71789 16.64395 4.293
NaF    17.22501 31.56655 4.621
NaI    46.16686 10.66563 4.122
NbS    20.89204 120.58419 5.614
NiS    16.11607 107.72543 4.419
OsS    17.67785 178.01700 5.109
PdS    20.05400 92.24109 5.835
PtS    19.95055 114.84749 5.195
ReS    17.99580 177.80650 4.793
RhS    18.39427 125.27522 5.309
RuS    17.69864 146.80533 5.382
ScP    26.11755 63.89302 3.783
SiGe    21.95784 74.14679 4.560
SnPb    40.63500 30.33528 4.160
SrS    37.20453 32.47610 5.547
TaS    20.64015 136.76908 3.014
TcS    17.92409 150.71134 4.810
TiS    20.25109 93.68038 2.575
TlP    28.64234 45.47008 5.716
VS    18.01523 108.25813 4.471
WS    19.04538 157.06392 4.280
YP    31.16335 55.90114 3.770
ZnO    12.31847 127.06315 4.159
ZnS    20.15161 70.95165 7.492
ZnSe    23.65043 57.12750 4.030
ZnTe    29.60572 43.15039 4.287
ZrS    23.81116 90.77275 4.237
