%eval_id interface    DAKOTA_RC_1    DAKOTA_RC_2    DAKOTA_RC_3    DAKOTA_RC_4    DAKOTA_RC_5    DAKOTA_RC_6    DAKOTA_RC_7    DAKOTA_RC_8    DAKOTA_EP_1    DAKOTA_EP_2       obj_fn_1       obj_fn_2       obj_fn_3 
1            NO_ID    1.301091735    1.260791211    1.203676035    1.578888538     1.56074819     1.15685621    1.359380507    1.765081019    8.159199238    2.273892085 3.198995798e-05    0.013899881 0.009574226027 
2            NO_ID    1.302332905    1.528834547    1.688821167    1.450312889    1.130600078    1.498984755    1.394602732    1.686165029    1.832603195    7.093091534            100            100            100 
3            NO_ID    1.303697604      1.2981171    1.605273776     1.17510707    1.290903689    1.375251079    1.725546941    1.419425162    4.165874671    9.874891021            100            100            100 
4            NO_ID    1.304011381    1.431740212    1.459963818    1.111433907    1.164985695    1.316297673    1.567168169    1.800488319    1.084499544    5.123072379            100            100            100 
5            NO_ID    1.306127381    1.540693274    1.266412526    1.409325632    1.063907458    1.013342087    1.390710834    1.667818134    6.014073241    5.787734932            100            100            100 
6            NO_ID    1.306192291    1.662795975    1.598249676    1.067293757    1.327376234    1.084026361    1.784911503    1.330732058    1.208992236    3.308009267            100            100            100 
7            NO_ID    1.310053287     1.68534081    1.398992867    1.113449716    1.103747105    1.052726179    1.583001296    1.404377404    8.572158553    7.972917559            100            100            100 
8            NO_ID     1.31024668    1.456538814    1.506387688    1.285969633    1.118340963    1.390831153    1.377518725    1.828079092    5.224698188    7.367116132            100            100            100 
9            NO_ID     1.31124115    1.428480507    1.396435058     1.03151836    1.505343544    1.417914523      1.4136213    1.466867932    1.023054053    11.63011673            100            100            100 
10           NO_ID    1.314005747    1.647149828    1.397999126     1.27179042    1.364731965    1.494255294     1.38571787    1.344460225    4.536298661    2.391539735            100            100            100 
11           NO_ID    1.317231291    1.606537699    1.625093664    1.453476566    1.512586584    1.338313076    1.742718629     1.80015469    11.29937635    8.946923089            100            100            100 
12           NO_ID    1.322437464    1.411604029     1.52035521    1.514779974     1.34413942     1.49864781    1.374252397    1.532017026    4.355770901    7.787439391            100            100            100 
13           NO_ID    1.327763585    1.521029944    1.498953387    1.160059732     1.33786112    1.377009231    1.596212546    1.503555772    8.293921741   0.1937456747            100            100            100 
14           NO_ID    1.328752999    1.336622165    1.694322855    1.486349245    1.431559093    1.206097598    1.414169042     1.44816361    10.25674432    1.867472901            100            100            100 
15           NO_ID    1.328997077    1.588784043    1.280419693     1.09209757    1.266933239    1.163117038    1.585798141     1.86631038    6.486663516    5.313274811            100            100            100 
16           NO_ID    1.332089512    1.663957247    1.378206463    1.276592966    1.398576479     1.46082638    1.661874633    1.637388307    5.750344631     11.7310571            100            100            100 
17           NO_ID    1.332385168    1.370724405    1.429975833    1.041213629    1.307455912    1.013412698    1.623955869    1.668179419    9.260962032     3.57792552            100            100            100 
18           NO_ID    1.334228069    1.529557613    1.248659361     1.29748087    1.147428449    1.321675453    1.377202887    1.323529335    10.55629655    6.634144829            100            100            100 
19           NO_ID    1.334449209    1.562298105    1.333098615    1.409422262    1.478186952    1.048835146    1.653714519     1.81729071    11.71745927    8.536663981            100            100            100 
20           NO_ID    1.335290063     1.38428341    1.444695295    1.318456333    1.173754615    1.250882963    1.746243566    1.859937949    5.125176175    9.290396164            100            100            100 
21           NO_ID    1.337070713    1.331594199    1.648180472    1.517722941    1.206291046    1.493199072    1.773107187    1.776825236    6.327528876     5.27274889            100            100            100 
22           NO_ID    1.340194227    1.671506623    1.436281051    1.040682227    1.176235403    1.048595944     1.54553481    1.367288714    5.348172216    5.875787512            100            100            100 
23           NO_ID    1.340446005    1.276242606    1.552552214    1.211607107    1.467113317    1.404380249    1.827405754    1.503758949    5.971226891    3.599964622            100            100            100 
24           NO_ID    1.341523953    1.364043153    1.342634252     1.37562219    1.581317593    1.315798647    1.636645632    1.794181096    5.051849554    10.05274152            100            100            100 
25           NO_ID    1.348758185    1.487672025     1.36121077    1.437137301    1.548349949    1.044058016    1.513351019    1.354651483    8.103114951    1.262344156            100            100            100 
26           NO_ID    1.354478705     1.21015941    1.553553375    1.487629347    1.324613862    1.576897258    1.871766217    1.653094451    1.909826479    5.084876001            100            100            100 
27           NO_ID    1.355873431    1.348087359    1.506480647    1.250504803    1.557550036    1.234675974    1.819601709    1.534457866    9.043881776     7.17562329            100            100            100 
28           NO_ID    1.357601772    1.545748697    1.429769127    1.410494386    1.023165928    1.391549092     1.70973813    1.770403756    5.816741637    10.41633406            100            100            100 
29           NO_ID    1.357621126    1.211218555    1.207357051    1.102586625    1.337441699     1.28274224    1.360723507    1.749635404    9.098808153    10.13337201 0.0003643124655  0.03599233794  0.03215658329 
30           NO_ID     1.36471747    1.561973123    1.523649263    1.203143519    1.450605092    1.376213718    1.406301533    1.661097731     8.99532378     1.07839544            100            100            100 
31           NO_ID    1.369860252    1.231345959    1.316049748    1.255990919    1.125492721    1.561837952    1.618247703    1.670435348   0.9533721232    8.712568853 0.0003003020002  0.02745971551  0.02394572022 
32           NO_ID    1.374591955    1.633892486    1.439684029    1.536913378    1.296061742    1.485389652     1.65998299    1.528308711     2.85077955   0.9626724203            100            100            100 
33           NO_ID    1.376822434    1.559234904    1.518224218    1.014393452    1.237349579    1.460643236     1.39939292    1.665292726   0.3324059622    4.158434441            100            100            100 
34           NO_ID    1.377236012    1.422699599    1.484858032    1.183242154    1.144897619    1.253971919    1.765483699    1.371151663    8.232980192     4.30027917            100            100            100 
35           NO_ID    1.377727599    1.669028189    1.615075996    1.400473381    1.303504553     1.07052688    1.566235503    1.660498041    1.054677303    9.604062297            100            100            100 
36           NO_ID    1.381306793    1.538515061    1.431359686    1.121987645    1.491148828    1.197703233    1.398107874    1.728222621    6.445206567     1.19390652            100            100            100 
37           NO_ID    1.389788375     1.52974974    1.342841222    1.173163169    1.488922548     1.25043987    1.728521474    1.733042655    1.363952201    10.44197583            100            100            100 
38           NO_ID    1.391963972    1.597150434    1.578972632    1.002570865    1.459850679    1.401112256    1.761527708    1.787178855    11.21616748    7.502720646            100            100            100 
39           NO_ID    1.393205005     1.21680917    1.519333508    1.487590559     1.47733584    1.326481014    1.791401521    1.365287897    6.941304717    2.842037672            100            100            100 
40           NO_ID    1.394398851    1.564939468    1.310246789    1.552625187    1.018265167    1.136152814    1.765694653    1.337686856    6.269494764    11.10940475            100            100            100 
41           NO_ID    1.395357191    1.303520661    1.535998543     1.25507553    1.533647056    1.281385202    1.603910675    1.587361575    3.973518241    5.795672768            100            100            100 
42           NO_ID    1.397007039      1.2627022    1.361873737    1.425662033    1.276326028    1.235900491    1.781693261    1.861435777    3.249279992    11.36913092 0.0004720121127 0.005894607252 0.001840549052 
43           NO_ID    1.397585598    1.351186965    1.544996102    1.465250824    1.467393992    1.532336284    1.556081977    1.844912717    9.208307537    10.34633773            100            100            100 
44           NO_ID    1.405916145    1.218948864    1.654320906    1.482526353    1.502629993    1.072468286    1.855198303    1.567911002     11.1946895    5.123579277            100            100            100 
45           NO_ID    1.406396025    1.410243094    1.243988747     1.08236852    1.096208937    1.077735862    1.881600272    1.490154595    6.868890969    2.479002218            100            100            100 
46           NO_ID    1.408571255    1.452967542    1.288344045    1.302505276    1.259971553    1.082433157    1.805373543    1.472149432    11.24080975    1.862507573            100            100            100 
47           NO_ID    1.409814527    1.651165109    1.224589118    1.103001953    1.427747376    1.461066034    1.609099551    1.841916419   0.1845928655    4.438735331            100            100            100 
48           NO_ID    1.412455649    1.529904222    1.480747245    1.146815837    1.204364584    1.280625855    1.753753984    1.743401982    10.61205551    5.684441968            100            100            100 
49           NO_ID     1.41369388    1.347355017     1.24795249    1.501674021    1.298574834     1.01699485    1.571762915    1.772390865     2.42719919    5.086749927 3.46216576e-05 0.003723460613 0.0007857133133 
50           NO_ID    1.414194774    1.688613505    1.494077178    1.208267492    1.115826139    1.599243744    1.747237829     1.79928799    2.221571463     3.14719657            100            100            100 
51           NO_ID    1.414245232    1.524741757    1.483106215    1.253674639    1.451249651    1.060535102     1.37643189    1.473890242    8.183514429    3.282345147            100            100            100 
52           NO_ID    1.416278595    1.354197583    1.605077157    1.561315661    1.346799394    1.143091425    1.566203406    1.609673945     5.23235941    9.165400111            100            100            100 
53           NO_ID    1.419918143    1.597136329    1.480970231    1.590977745    1.535439376    1.452143039    1.504485485    1.885467224    8.987090661    3.567170068            100            100            100 
54           NO_ID    1.430422539    1.244360598    1.258949483    1.056097805      1.0501666    1.307417978    1.897607095     1.59178991    2.115743934    4.092058675 5.409399226e-06  0.03527386305  0.03052071497 
55           NO_ID    1.432790688    1.623370304     1.45498803    1.502267408    1.575989143     1.26426246     1.46981436    1.478765186    4.857596126    8.670788341            100            100            100 
56           NO_ID    1.433156696    1.361543807    1.327418928    1.357413956     1.39630986    1.519566328    1.580246051    1.315762001    11.15985716    1.509380205 0.0001056576593 0.006964308503 0.002353425195 
