%eval_id interface    DAKOTA_RC_1    DAKOTA_RC_2    DAKOTA_RC_3    DAKOTA_RC_4    DAKOTA_RC_5    DAKOTA_RC_6    DAKOTA_RC_7    DAKOTA_EP_1    DAKOTA_EP_2       obj_fn_1       obj_fn_2       obj_fn_3 
1            NO_ID    1.252372174    1.502484807    1.275775138    1.510664601     1.42999401    1.559740002    1.599040808    10.80503489    10.62031223            100            100            100 
2            NO_ID    1.257176208    1.422193616    1.387269614    1.503892793    1.388427244    1.285709464    1.377369794    1.884139667    8.986254136            100            100            100 
3            NO_ID    1.257870275    1.577576721    1.293653035    1.571314108    1.511665348    1.408592863    1.580445261    1.103859902   0.3357697652            100            100            100 
4            NO_ID    1.258498016     1.53378946    1.298899871    1.255792168    1.309582073    1.349832789    1.296880466    7.457398712    1.101061665            100            100            100 
5            NO_ID    1.264881856    1.494245219    1.395902389    1.500718175    1.280095911    1.494235958    1.523456866    7.395592956    9.934871803            100            100            100 
6            NO_ID    1.266909839    1.497930166    1.312034944    1.287415257    1.609417016    1.406965535    1.281932418  0.09025184628    8.373283774            100            100            100 
7            NO_ID    1.267850353    1.583064521    1.198032137    1.624128576    1.357284954    1.588781576    1.503649811    7.477117017    8.302372214            100            100            100 
8            NO_ID    1.269940723    1.505775438    1.129671514    1.489382287    1.386066708    1.410287863    1.585319881    5.337291495   0.6151625591            100            100            100 
9            NO_ID    1.272801133    1.233314228     1.19245188    1.428177765    1.371361746    1.452341865    1.549067749    4.641603891    3.603904743 0.000301485286 0.008957370474   0.0131159324 
10           NO_ID    1.275730029    1.227954305    1.236684957    1.520984735    1.496253807    1.366018528    1.554543178     10.1101925    10.39848312 0.0004441984059 0.007750094629  0.01202781255 
11           NO_ID    1.282670109    1.519023021    1.235801878    1.317072421    1.624222423    1.316952801    1.524788852   0.8028124612   0.2443135177            100            100            100 
12           NO_ID    1.284632079    1.536011773    1.346544432    1.590060321     1.26220687    1.456041836    1.367803643    5.526286256    6.777681579            100            100            100 
13           NO_ID    1.286785644    1.413554107    1.198472488    1.516865841    1.375730529    1.530489592    1.530719782    4.154923631    7.865625834            100            100            100 
14           NO_ID    1.289955465    1.460150952    1.143746497    1.256543679    1.628600478    1.253866778    1.613207882    6.337116019    6.620498543            100            100            100 
15           NO_ID    1.291122562     1.37023458    1.269512416     1.47970595    1.531058412    1.600822747    1.443447231    1.734956303    9.719323731            100            100            100 
16           NO_ID    1.293815754    1.351317581    1.244520735     1.30865648      1.3842569    1.616674404    1.638388322    7.391549922    11.87563005            100            100            100 
17           NO_ID    1.294794308    1.469803935    1.393312047    1.346990547    1.450121948    1.261617769    1.602875002    11.10409422    4.381644333            100            100            100 
18           NO_ID    1.294901538     1.45283038     1.35061181    1.632300947    1.303764475    1.303887444    1.543252565    6.336235819    10.69681851            100            100            100 
19           NO_ID    1.295291007    1.223866549    1.388101981    1.322802221    1.538969023     1.54414896    1.308407236    7.786658276    4.746078944            100            100            100 
20           NO_ID    1.298311742    1.308435094    1.291570591    1.360568238     1.53575215    1.488014128    1.428631862    2.316965317     6.38483587            100            100            100 
21           NO_ID    1.298395335    1.414584733      1.3895557    1.494797556    1.637487709     1.33293804    1.568461154   0.3924361134   0.5635056387            100            100            100 
22           NO_ID    1.299967156    1.312938039    1.257479854    1.356540895    1.468175829    1.396811366     1.27989928    6.902513436    9.079938511            100            100            100 
23           NO_ID    1.300337358    1.403695398    1.355695384    1.607762309    1.468577254    1.485172397    1.602298828    2.078862856    7.958049225            100            100            100 
24           NO_ID    1.300641692    1.285380047    1.156648216     1.48675737    1.606799873    1.414178492     1.45550122    3.840270048    11.91882456 0.001827414198 0.004914294567   0.0101406014 
25           NO_ID    1.303269947    1.320994919    1.357117034    1.467442902    1.405626998    1.528834485    1.396168811    2.870619576     8.73124066            100            100            100 
26           NO_ID    1.303748244    1.222369277    1.361815744    1.627725702    1.454626171     1.54255451    1.444355089    4.540467602    11.87576545            100            100            100 
27           NO_ID    1.304548287    1.218376223    1.216768956    1.499880343    1.294106252    1.433646247    1.282126953    9.452729617   0.8970016059 0.0003831356252 0.005704329334  0.01055050405 
28           NO_ID    1.305199403    1.485883631    1.255787323    1.302537992    1.591190983    1.586360176    1.301843582    5.422539317    8.344370164            100            100            100 
29           NO_ID    1.305307352    1.328643745    1.399479192    1.489560328    1.591785496    1.392040877    1.427342224    10.85451352    2.490734502            100            100            100 
30           NO_ID    1.308236434    1.369275355    1.398537627    1.265129196    1.523552196    1.272446962    1.274571985    3.305697627   0.7779731717            100            100            100 
31           NO_ID    1.309811536    1.578036764    1.230413474    1.305665871    1.589822129    1.254657361    1.589365651    4.591609605    9.436455331            100            100            100 
32           NO_ID    1.310132248    1.264285047    1.293324431    1.252952249    1.443531957    1.268318303    1.406312998   0.2720318289    7.562801424 0.001692031896 0.008670914028  0.01268907754 
33           NO_ID    1.310259175    1.301746846    1.251969264    1.365981289    1.597369639    1.502742701    1.353994881    9.573167748     3.90639767 0.0006826051466 0.005311612473  0.01024793101 
34           NO_ID    1.311486849    1.474252277    1.395887871    1.293591379    1.372143924    1.564929701    1.648558566    5.301401616    2.427929108            100            100            100 
35           NO_ID    1.316111265    1.520612037    1.121219392    1.320927384     1.35656472    1.349012916    1.626502069    4.936588629    9.162847251            100            100            100 
36           NO_ID    1.316709971    1.355629403    1.177766027    1.620894552     1.27093037    1.353623618    1.461077008    0.960718459    11.30668806            100            100            100 
37           NO_ID    1.319435317    1.517396327    1.135373355    1.361085501    1.373994848    1.501207925    1.369927102    10.30683489     11.8675075            100            100            100 
38           NO_ID    1.319882525      1.3623942     1.33808289    1.302388945    1.276976515    1.304808492    1.552931914    9.697290362    0.531955384            100            100            100 
39           NO_ID    1.322352808    1.278151929    1.365103356    1.318211656    1.360822039    1.522494162    1.499280827    5.336833804    7.401497548            100            100            100 
40           NO_ID    1.322693304    1.289487062    1.151646231    1.547089979    1.527733071    1.642026732    1.596857364    5.649112078    8.173593223 0.0006143152134  0.00366167756 0.009234901219 
41           NO_ID    1.323222683    1.384951109     1.21302026    1.354081033    1.538704425    1.470157863    1.495012566    10.19673672    10.96742326            100            100            100 
42           NO_ID    1.323698033    1.470763161    1.384296046    1.360400089    1.639604843    1.290057155    1.358380672     10.1323526    9.750806455            100            100            100 
43           NO_ID    1.323713752    1.209384064    1.378043829    1.251213387      1.3191956     1.59876187    1.425098019    3.745844154    8.657519955            100            100            100 
44           NO_ID    1.323859033    1.397590213    1.277756987    1.403884928    1.618562624     1.39482654    1.546715479    1.172305182    3.962836629            100            100            100 
45           NO_ID    1.325958728    1.283938427    1.228487133    1.456440166     1.40763646    1.292079339    1.435501561    8.041096462     0.95052545 0.0004464204444  0.00678114155  0.01138622049 
46           NO_ID    1.326195098    1.477315927    1.233307492    1.422002672    1.269880884    1.643458724    1.583974436    3.495860049   0.2790952196            100            100            100 
47           NO_ID    1.329118421    1.483507157    1.127616437     1.31243143    1.586777104    1.407816835    1.255254142    4.626600173    9.403314995            100            100            100 
48           NO_ID    1.329270235    1.520723768    1.131914071    1.256103167    1.464372004     1.33276427    1.549153648    7.407076174    7.541776778            100            100            100 
49           NO_ID    1.329450791    1.376077162    1.289501633    1.554020245    1.286338298    1.385053374    1.527987096    1.284124772    10.70678285            100            100            100 
50           NO_ID    1.335292779    1.446512595    1.389681883    1.623876777    1.276267975    1.300469634    1.265514429    3.617155956     6.63808035            100            100            100 
51           NO_ID    1.335578698    1.221263867    1.123016608    1.376470773    1.337973838    1.436318215    1.480158809    1.766051694    6.217457545 0.0003884395687 0.003082443216  0.00864090981 
52           NO_ID    1.338047518    1.279072692    1.190667488    1.283358384    1.567788293    1.285444145    1.588837079    3.315429056   0.1363977828 0.0004382840499 0.007705781516  0.01210861165 
53           NO_ID    1.338579936    1.435293299    1.191204534    1.346103714    1.533688633    1.586190779     1.33217798    3.854585674    9.710354636            100            100            100 
54           NO_ID    1.339078751    1.526224407     1.32905279    1.546327336    1.510006834    1.425349117     1.38559987    5.120365885    3.441894943            100            100            100 
55           NO_ID    1.340654698    1.449277887    1.251399769     1.43739496    1.491201377    1.405849656    1.572756598    10.27832102    10.76802302            100            100            100 
56           NO_ID    1.344315016    1.566389217    1.307301212    1.346072731    1.446484418    1.367290795    1.441083637    10.95818962   0.2646499426            100            100            100 
57           NO_ID     1.34437965    1.415499874    1.383263985    1.565648995    1.525759049    1.329432159     1.36827468    11.75221016   0.8040539384            100            100            100 
58           NO_ID    1.344624856    1.575297178    1.242462118    1.571641139    1.411684491    1.622818167    1.338548646    9.409577378    6.767081065            100            100            100 
