%eval_id interface    DAKOTA_RC_1    DAKOTA_RC_2    DAKOTA_RC_3    DAKOTA_RC_4    DAKOTA_RC_5    DAKOTA_RC_6    DAKOTA_RC_7    DAKOTA_EP_1    DAKOTA_EP_2       obj_fn_1       obj_fn_2 
1            NO_ID    1.701226385    1.285821868    1.363675825    2.026359441    1.851631929    2.077624713    1.906631242   0.8996087354     8.40946123            100            100 
2            NO_ID    1.703525534    1.482639569    1.320993921    1.795790047    1.990149865    2.004638145    1.840188333    8.068213953    7.554652236  0.00213187339 0.005919379742 
3            NO_ID    1.704223557    1.550664813    1.535827427    1.813537641    1.885724626    1.847586661    1.958373688    3.066600509   0.2880831176            100            100 
4            NO_ID    1.704295827    1.345072585    1.567203933    1.818855656    2.039840472    1.722115562    1.872438427    9.227353104    11.52259686            100            100 
5            NO_ID    1.705822024    1.320121495    1.518149013    2.033231052     1.85262137    1.824333923    1.779102098    1.138307356    6.933325832            100            100 
6            NO_ID    1.706706103    1.748977223    1.786743081    2.079900915    1.916280132    1.730533741    2.041874613    1.437737637     3.96691989            100            100 
7            NO_ID    1.706965553    1.726581516    1.674143808    1.938928813    1.921480411    2.046141692    1.955930098    2.490092482  0.07192494351            100            100 
8            NO_ID    1.707730001    1.393393245    1.472942391    1.872642078    2.036557388     2.09970112    1.715548821    5.203470605    9.218270362            100            100 
9            NO_ID    1.707834782    1.575005078     1.35474958    1.738864158    2.045492064    2.074702946    1.772609206    10.26567826    2.750095877 0.002011133117 0.003549887706 
10           NO_ID    1.708338623    1.730130883    1.434844433    1.927486919     1.98439595    1.870831797    1.892968232    6.630018737    6.732730002            100            100 
11           NO_ID    1.709507273    1.358035035     1.45425871    1.822051663    1.798579333    2.012884417    2.092136141    9.549267013    1.315334146            100            100 
12           NO_ID     1.70978366    1.697062435    1.757878196    1.837470375    2.095665456    1.794827092    1.869579607    7.616537308    8.862763271            100            100 
13           NO_ID    1.713283621    1.326373823    1.322578195    1.759347865    1.944950157    1.977960175    1.892829442    4.653578613    9.424024532  0.00217244444 0.007623968962 
14           NO_ID    1.713641031    1.472648232    1.379577631    1.891944839    1.728599156    1.991451636     1.95219456  0.04970816711    8.864818922            100            100 
15           NO_ID    1.714039481    1.343651368    1.484947523    1.812873182    1.887649819    2.097746661    1.743775932    6.919734699    6.951360374            100            100 
16           NO_ID     1.71578029     1.66362703    1.328131802    1.872839919    1.767290285    1.946250112    1.762692807    5.784010562    11.93268886 0.002641409624 0.002393194298 
17           NO_ID    1.720455465    1.394373296    1.735725971    1.834359424    2.034778535     2.09306848    1.979059681    5.219021092    5.993585584            100            100 
18           NO_ID    1.722925669    1.322760462    1.610861863    1.779612535    1.729209923    1.817555782    1.986580237    2.314769297   0.6598381645            100            100 
19           NO_ID    1.726183707    1.484165146    1.772151208    1.954666905      1.7485012    1.782394823    1.701195867    6.446095172    3.327349156            100            100 
20           NO_ID    1.726209985    1.722622752     1.36186165    1.919050076    2.089752487    1.717548372    1.867009454     10.3567187   0.2098852471            100            100 
21           NO_ID    1.728032102     1.72310022    1.476129763    1.757781576    1.879090243    2.016831725    2.004739465    10.77677181    0.250066761            100            100 
22           NO_ID    1.728563658    1.312657044    1.433349192     2.01680489    1.828899235    1.871894022    2.016089703    4.417306369    5.683449042            100            100 
23           NO_ID    1.732158783    1.635710852    1.655522344    1.930961452    2.006254191     1.91276625    2.016382653    2.372823314    8.401696034            100            100 
24           NO_ID     1.73278953     1.68801539    1.686123807    1.736700914    1.874204788    1.844569476    2.063683694    7.422549631    10.76363611            100            100 
25           NO_ID    1.734183165    1.436621837     1.71002591      1.8989126    1.961960179     2.01885639    2.028887338    5.529560177    9.162765226            100            100 
26           NO_ID    1.736075227    1.537975184    1.407267948    1.913724247     1.93895782    2.019944121    2.033442667    0.927079786    10.45629829            100            100 
27           NO_ID    1.736736964    1.710521247    1.716782318    2.095547582    1.752737118     2.03072561    1.913448547    2.179010428   0.6780522692            100            100 
28           NO_ID    1.737802624    1.699660933      1.2045907    1.713006192    1.862766501     1.73221153    2.028757362    4.687646713    11.05087287 0.002192236552 0.002497302593 
29           NO_ID    1.739323694    1.283524845    1.693155844    2.010824845    1.923309163    1.997869218    2.002068636   0.1543491428    2.940550062            100            100 
30           NO_ID     1.73936003    1.396436668    1.413339925    1.788953467    2.043487935    1.929134266    2.086778727    2.654742956    4.887594521            100            100 
31           NO_ID     1.74045009    1.601010376    1.548531123    2.058016324    1.971563808    1.766130624    1.881901275    11.55304348    7.555657495            100            100 
32           NO_ID    1.741337319    1.664460908    1.721939067     2.05547147    2.089447803      2.0950938    1.774417395    5.579405249    1.954616754            100            100 
33           NO_ID    1.742254597    1.336001119      1.4843592    2.082804674    1.975646347    1.846620473    2.014814452     10.8806499    7.106230424            100            100 
34           NO_ID    1.745049369    1.738619142    1.697610162    2.033491441    2.091238211     1.92221401    1.937173004    6.665989892    3.854046024            100            100 
35           NO_ID     1.74580638    1.768029447    1.526427395    2.003381572    1.794069775    2.095244683    1.824462623   0.4931635393    9.794857749            100            100 
36           NO_ID     1.74852347     1.53439385    1.396595619    1.855092263    2.070614951    1.707433192    2.085037729    10.03327967    4.307737142            100            100 
37           NO_ID    1.749565496     1.79715633    1.279565052    2.004869179    1.987017275    2.013425965    1.822861192   0.3841403203    2.580400509            100            100 
38           NO_ID    1.751487007    1.438951501    1.552125771    1.909795363    1.972831069    1.900057739    2.006190361    9.132675535    5.817858648            100            100 
39           NO_ID    1.751992335    1.347740532    1.569887502    1.736078897    1.863452939    2.003945858    1.848360368    1.882452401    3.555240921            100            100 
40           NO_ID    1.753794539    1.224491841    1.798927219    1.718344311    1.717554279    1.756499391    1.827461527     10.3174116    6.243939609            100            100 
41           NO_ID    1.755516458    1.740051179    1.420028501    1.747462291    1.777431431    2.055805377    2.057337109    10.89067971    9.950653424            100            100 
42           NO_ID    1.757781538    1.277712029    1.208277946    1.862998836    2.044636906    1.961806575    1.818805736    9.189561528    3.279422518 0.001902196614 0.008240872989 
43           NO_ID     1.76079095    1.459943849    1.320043019    1.889531792    2.085073402    1.744626292    1.887124876     3.34152871   0.6979015771 0.0008622793138 0.006495219864 
44           NO_ID    1.762325235    1.645506069    1.338348365    2.019202811    1.959053238    1.821929681    2.057786565    2.987618438    7.727255756  0.00132383332 0.002740205479 
45           NO_ID    1.764290499    1.384362442    1.248163849    1.958219121     1.90059835    1.823689326    2.062823516    5.360620063     5.22963053 0.001312623152 0.007028585684 
46           NO_ID    1.764959251    1.286031285    1.368422206    1.999295475    1.914562172    2.028061243    2.076377884      10.436927     8.56045907            100            100 
47           NO_ID    1.764988141    1.635791611    1.599851161     1.74905809    1.938902286     2.07379497    2.066643905    3.625951556    1.819834555            100            100 
48           NO_ID    1.766563694    1.594196863    1.629023419    1.878379513     1.71365427    1.988813562    1.903695211    4.597620307    8.370691329            100            100 
49           NO_ID      1.7672899    1.541256674    1.528279115    1.953142832    2.087269438    1.766954686    1.992880341    1.273796082    6.249766826            100            100 
50           NO_ID    1.768288008     1.52294398    1.497765841    2.049210886    1.854415033    1.888762439    2.085148371    8.065567238    9.436001562            100            100 
51           NO_ID    1.772540373    1.668351873    1.418806569    1.985322209    1.806776938    1.736942269     1.74029332    11.78967469    4.638992219            100            100 
52           NO_ID    1.773392697    1.486578946    1.614875661    1.860114924    1.843649357    1.995985049    1.937939018    10.11479898   0.4242484423            100            100 
53           NO_ID    1.774027492    1.601013046    1.476450193    1.797113132    2.094356495    1.943405586    2.091508954    9.404996405    11.66230139            100            100 
54           NO_ID     1.77625124    1.423596795    1.362586103    2.027435316    2.025776332    1.770341082     1.78646514    4.508425061    3.017383124            100            100 
55           NO_ID    1.776421611    1.258689446    1.299608396    2.061770247    1.787649768     1.98933483    1.792833993    7.282260913     7.79849345 0.004004133008 0.007944304559 
56           NO_ID    1.776557844    1.639211339    1.669512405    1.788567513     1.96737584    1.812162813    1.964476208    6.119557296    2.940703943            100            100 
57           NO_ID    1.776988965    1.428733161    1.474033999     1.86212646    1.786158861    1.793833691     2.05737438   0.9092512377    6.854495961            100            100 
58           NO_ID    1.777690056    1.337370141    1.356906592    2.078088985    1.750631692    2.031369871     1.72573146    5.973947723    3.921733228            100            100 
59           NO_ID    1.779807198    1.270701634    1.378418887    1.896532372    1.770060092    1.900786233     1.77044028     4.49017882    6.899884682            100            100 
60           NO_ID    1.780677178    1.750582036    1.299891465    1.783074676     1.88840124    1.819027831    2.060778057    10.94750187    4.753204886 0.002361271169 0.001684081244 
61           NO_ID    1.784078792    1.644957128    1.405504432    1.906321654    1.916427266    1.878035837    1.781818527    0.457184734    5.964080072            100            100 
62           NO_ID    1.784861695     1.34478462    1.338308233    1.964022877    1.992138147    1.780908509    2.096325045    3.480701098     10.7967332 0.002916508452 0.007551213082 
63           NO_ID    1.786232336    1.352260137    1.677119663    1.731529966    1.942486329    1.822132811    2.016943197    8.673844606    1.584178387            100            100 
64           NO_ID    1.788338366     1.23672367      1.5358483    1.838287422     2.09884515    1.746940182    2.044491369    10.24710846    7.992147276            100            100 
65           NO_ID    1.789835033    1.703976222    1.225821346    1.817118387    1.972412299    1.881969364    1.900623844    2.606263274    5.329470598 0.0007958430621  0.00207194481 
66           NO_ID     1.79188224    1.511672468    1.696354126    1.743008004    1.933965352    1.820346181    1.724442142    2.658967714    5.065421442            100            100 
67           NO_ID    1.793701724     1.65174618    1.448937619    1.963567998    1.737621745    1.741738738     2.01331418     9.72630138   0.7618501451            100            100 
68           NO_ID     1.79441735    1.602761245    1.620407703    1.978355029    2.002690662    1.738019693    1.918372303    3.048097837    8.999396177            100            100 
69           NO_ID    1.795488678    1.607304839    1.250617571    2.096697212    1.816966916    1.854010375    1.889539942    5.290208573    5.750109714 0.001156710488 0.002974122171 
70           NO_ID     1.79875529     1.44183878    1.232727299    1.750391152    1.946087548    1.818341279    1.842596641    3.303312758   0.3143827861 0.001019201692 0.006598188913 
71           NO_ID    1.800257363    1.737592848    1.502663929    1.820929185    1.817459052    1.710546512    1.744007585    9.092087744    3.472867802            100            100 
72           NO_ID    1.800267184    1.541669639    1.491588656    1.943858422    1.852918354    2.097296215    1.846316125    10.13977516    6.134874604            100            100 
73           NO_ID    1.800550924    1.498296244    1.706173991    1.796794158    1.802729816    1.848246352    1.823940052    10.65416239     5.51813038            100            100 
74           NO_ID    1.801723486    1.535963297    1.266597429      2.0787906    2.047183596     1.87323645    1.885543179    1.118904636    5.398688209 0.001988269078 0.004753912038 
75           NO_ID    1.802763774    1.379056842    1.590509427    1.976183596    2.067880553    1.884231611    1.888241852    3.070833481    9.964464023            100            100 
76           NO_ID    1.802877344     1.53809166    1.682041432    2.000930788    2.068695183    1.753922756     1.85231699    4.967065827    4.407602953            100            100 
77           NO_ID    1.804021207    1.462140025    1.753364965    1.711296886    2.069199728     2.09646486     2.04326551    6.448278875    1.802849109            100            100 
78           NO_ID    1.804212288    1.768258675    1.394962108    2.022358493    2.086569118    1.958903569    1.804320087    4.776335866    5.863828699            100            100 
79           NO_ID     1.80508624    1.425817443    1.557177418    2.085401614    2.095195897    1.786477539     2.06732025    4.194801128    2.161964749            100            100 
80           NO_ID    1.805316231    1.698769765    1.228394376    1.877381723    2.012242662    2.087685641    1.977689368    3.679886628    4.749250656 0.0006797121696 0.001948754072 
81           NO_ID    1.805672068    1.538601378    1.242557991    1.866333219    2.036360178    1.707247902    1.801824767    5.000708182    11.75837501 0.002717087017 0.004887347037 
82           NO_ID    1.805948073    1.378519739    1.556257642    1.927860349     1.74938862    1.775585019    1.823739994    5.386507985    9.381376414            100            100 
83           NO_ID    1.806836965    1.334742187    1.775575831    1.917748604    1.941011683    1.960025087    1.882264813    9.235372412    1.433781038            100            100 
84           NO_ID    1.807377221    1.210661445    1.229222236    1.939607884    1.907959987    2.091282778     2.09273828    3.805299792   0.2667133213   0.1696711716 0.007636919976 
85           NO_ID    1.810625925    1.768313862    1.703237322    1.930330095    2.084697932    1.715572544    1.742429437    9.537869531    5.045817422            100            100 
86           NO_ID    1.812389621    1.779306097    1.526851448    1.719896563    1.791876132    1.743635217    1.748268556    7.746280553    11.39986185            100            100 
87           NO_ID    1.813530069    1.747960837    1.344592498    1.731591448    2.093870883    1.871499695    1.887157576    9.320273201    9.011967881 0.002151610203 0.001049916373 
88           NO_ID    1.815383477    1.466439628    1.531621578     2.02236901    2.031250576    2.008326906    2.008904809    11.92761839   0.1173415203            100            100 
89           NO_ID    1.816044368    1.317355348    1.536150026    1.970677442    1.705230547     2.07131154    1.861291225    8.654159321    2.160716354            100            100 
90           NO_ID    1.817397312    1.513679565    1.664812227    1.985591226     2.07588307      2.0069059    1.791728718    11.21271875   0.5994405228            100            100 
91           NO_ID    1.823208065    1.393257246     1.51012887    1.790113225    1.706719824     1.72439665     2.05358092     11.2438819    8.363330504            100            100 
92           NO_ID    1.824554974    1.595017394    1.694819523    2.050441442    2.095091215    2.075331544    1.892766695    1.599982734    1.607188052            100            100 
93           NO_ID    1.824646758    1.470544612    1.634180443    1.914679333    1.803379677    2.033633306    1.778320051    5.551140734    11.73289812            100            100 
94           NO_ID    1.825018205    1.480279869    1.780689356    1.817515913    1.721892888    1.891427115    1.872762033    11.26321686    2.164488132            100            100 
95           NO_ID      1.8266201    1.784209401    1.675518134    2.090226286    1.930959749    1.954898551    1.793555797   0.6044445357    11.63348753            100            100 
96           NO_ID    1.826893557    1.317938998    1.483937933    1.785681427    1.785332102    1.855276771    1.776843481    1.956990498    11.14670709            100            100 
97           NO_ID    1.827014464    1.288658186    1.641593733    2.019143385    1.845337794     2.09590258     1.93722316     5.30603279     7.15166728            100            100 
98           NO_ID    1.831746285    1.268177792     1.56348788    1.758241543    1.778241391    1.867668846    2.082324081    3.448269145    10.25620904            100            100 
