%eval_id interface    DAKOTA_RC_1    DAKOTA_RC_2    DAKOTA_RC_3    DAKOTA_RC_4    DAKOTA_RC_5    DAKOTA_RC_6    DAKOTA_RC_7    DAKOTA_RC_8    DAKOTA_RC_9    DAKOTA_EP_1    DAKOTA_EP_2    DAKOTA_EP_3       obj_fn_1       obj_fn_2       obj_fn_3 
1            NO_ID    2.203654965    2.266679359    2.092020042    1.992205419     1.64054091    1.815844783    1.956535521    2.547223875    2.111618551    6.208233082    10.61232599    1.292363322            100            100            100 
2            NO_ID    2.204263684    2.209170281    2.225028341     2.02264951    1.824889394    2.102746503     2.05779327    2.008592866    2.217587282   0.0994094443    10.06704354    5.307360629            100            100            100 
3            NO_ID    2.204409738    2.292998804    2.180229379    1.891291861    1.980862998    2.182929423     2.34272939    2.581267193    2.289085989    8.271043375    2.230444166    3.056174572            100            100            100 
4            NO_ID    2.204511377     2.10753453    1.932995516      2.0120625    1.697119527    2.054273352    2.087802947    2.599043021    2.525912396    10.21966117    6.710874905    2.636124122            100            100            100 
5            NO_ID    2.208062472    2.120015078    2.243634002     1.81236861    1.847061225    1.976828552    2.288156729     2.57303683    2.341699585    3.833507959    7.840223728    3.068971157            100            100            100 
6            NO_ID     2.20831058     2.20979457    2.170822779    1.886836677    1.909148493    1.957193679    1.939254336    2.311820155    2.539441559    10.89801478    11.26423136    8.740616322            100            100            100 
7            NO_ID    2.211201449     2.36637299    2.264273387    1.881511578    1.753898986    2.150107844    2.082821293    2.372265613    2.559670226    6.740987155     2.84136123    6.003195084            100            100            100 
8            NO_ID    2.211232317    2.255812751    2.245707628    2.136159852    1.976723009    2.051140116     1.87550078    2.528085256    2.155780575    8.065373555    3.304040324    9.474250589            100            100            100 
9            NO_ID     2.21595219    2.001534271    1.808549167     1.98992451    1.656791232    1.977527595    1.896310192     2.54948232    2.111836565    10.13553283    6.793803712    9.367295935            100            100            100 
10           NO_ID    2.219736592    2.253811278    2.224652853    1.976735417    1.933107231    1.910880405    2.030562514    2.074450782    2.394165439     7.11332532    7.209298161    11.18770024            100            100            100 
11           NO_ID    2.220277015    2.125719226    2.204744131    2.062885263    1.722870147    1.950413456    2.256104244    2.285648742    2.096979914    9.302964783    9.295799195    10.46211447    0.570536576  0.02341590698  0.02821794179 
12           NO_ID    2.222665098    2.211865761    1.837018722    1.839321262    1.689950886    2.186597173    1.870180316    2.312702328    2.016861213    1.878956963     2.81868422    5.300295193   0.7828290921   0.1910509713   0.1966207151 
13           NO_ID    2.224393276    2.341487486    1.925393761    2.117943659     1.64065072    2.001190581    1.862677135    2.563738404    2.090178721     10.6467922    5.330626155   0.6720164272            100            100            100 
14           NO_ID    2.225981042    2.065858946    2.279236465    2.144531728    1.620066481     1.98321385    1.888622938    2.261540149    2.353767942    8.267730154    4.414546723    8.783741208            100            100            100 
15           NO_ID    2.227039611    2.305344835    2.075677773     2.09717667    1.605972066     1.83253413    2.004128159     2.49174261     2.35755844    4.732294888    10.86970461    1.524517593            100            100            100 
16           NO_ID    2.227628718    2.326538383    1.717099677    2.046242708    1.991980749    2.150436829    2.399192738    2.134732964    2.511527253    1.802528222   0.4004727939    11.56851852            100            100            100 
17           NO_ID    2.229708503    2.290803135    2.054841831    1.846303475    1.838652656    1.842886207    2.070335491    2.184301693    2.447643558    2.974897006    1.527842213    3.715232929            100            100            100 
18           NO_ID    2.233124331    2.396388219    1.741505591    1.858010083     1.83292557    2.104026853    1.951720381    2.328987991    2.444646371    6.813071092    5.766938335    7.482306208            100            100            100 
19           NO_ID    2.239791759    2.396662286    2.149459467    2.144398094    1.686612823    2.094369871    2.156970612    2.556821177    2.031783775    8.342553755    8.857540753   0.2239684594            100            100            100 
20           NO_ID    2.241118906    2.167184363    2.164628883    2.192522831    1.730451522    2.085226968    2.225815062    2.063197847    2.369995476    11.91452764    6.417521063    1.235526989            100            100            100 
21           NO_ID    2.243433291    2.198542865    1.883222752    1.957343757    1.771352733     2.11265749    2.396087854    2.253470914    2.483136994    1.227828881    7.166537268    6.360590539            100            100            100 
22           NO_ID    2.243539016    2.207460119     1.80791713    2.194964699    1.819797245    1.974212665    2.133664721    2.016508178    2.412396257    8.400611544    11.72196223   0.6047611146  0.06105231083 0.001313620228 8.802583419e-05 
23           NO_ID    2.243989029    2.174469505     1.81738306    2.192580684    1.711383513    2.136365619    1.873826767     2.27752908    2.065767708    11.09607684    9.512162289    8.398206424  0.03786534419  0.01990571862  0.02568241733 
24           NO_ID    2.244523137    2.377754257    1.738054361     1.99970898    1.944737851    1.887008643    2.258911354    2.157235131    2.148410571    10.89826309   0.7315186862    1.120411367            100            100            100 
25           NO_ID    2.248481516    2.138526132    1.719403601    2.143678505    1.717451022    1.824818008    2.128387277    2.305231371    2.108414135    8.414835472    2.379237778    8.019345686   0.2518668149  0.01798131634  0.02334022071 
26           NO_ID    2.253440931    2.109891715    2.150800761    1.932401944    1.704864225    2.037856699    2.030597326    2.484223792    2.462919142    6.007243454    6.063936518    1.667587605    1.531545369   0.1591127159   0.1400459663 
27           NO_ID    2.256314379    2.326507759    2.259787395     2.14974642    1.889441547    1.830536993     2.06275557    2.587727897    2.241419214    2.378878591    4.833355092    11.30918779            100            100            100 
28           NO_ID    2.259710563    2.234324777    1.766921176    1.916276874    1.819577058    1.923255015    1.911340267    2.353049499    2.565599439   0.7198624149   0.3630524689    9.305205713    1.326250651   0.1796472448   0.1833569651 
29           NO_ID    2.262338267    2.158761172    1.958947239    1.994928802     1.76207482     1.90819961    2.357761235    2.338267563     2.19935369    1.201967793    7.457873927    4.719555071            100            100            100 
30           NO_ID    2.262369558    2.375522307    1.739492399    2.061867908    1.870269067    2.127515143     2.25666317    2.117489169    2.095149283    4.175941583   0.3623719981    8.257095268            100            100            100 
31           NO_ID    2.265788926    2.162349705    2.275013325    2.093606496    1.778032726    2.120024157    2.366319709    2.452263946    2.492732212     3.55222913    7.374629575    6.774636339            100            100            100 
32           NO_ID      2.2665302    2.257318444    2.078504721    2.164334603    1.851803959    2.117022171    2.281959503    2.153828811    2.047265927    7.096120508    8.290693764    1.294105132  0.08483762297 0.0002215090457  0.00154952655 
33           NO_ID    2.269885702    2.064753744    2.125263098    1.921117542    1.632361837    2.007668482    2.271477183     2.51970383     2.54020023   0.3701137865    3.068037351    6.824353452            100            100            100 
34           NO_ID    2.270480877    2.009929392    2.080001904    1.995378834    1.714236739    2.139925751    1.872030285    2.496068383    2.436560961    1.925381464   0.5435133747    8.379322946            100            100            100 
35           NO_ID    2.271074167    2.272334346     1.71001128     2.04742822    1.941683098    1.808372025    1.910720935    2.311954748    2.476913218    2.350148075    4.383277748    1.750141266            100            100            100 
36           NO_ID    2.271202496    2.060242276    1.980210513    1.814974696    1.795571855    2.034079629    1.939414462    2.014588048    2.194543291    2.103666562    6.759040333    1.558445011            100            100            100 
37           NO_ID    2.274821046    2.306946214    1.943393324    1.851561139    1.960891262    1.915262941    1.829982675    2.398964639    2.177896279    10.21417793    8.247459214    11.72333648            100            100            100 
38           NO_ID    2.275887256    2.319481443    1.942972714    1.811304796    1.760313266      2.1152654    2.174264579     2.59347049    2.497318449    1.196547915    5.949649592    11.65393542            100            100            100 
39           NO_ID     2.27929611    2.024702849    1.802337155    1.823084089    1.624416042     1.97590467    2.151114482    2.532024563    2.234808604    3.977529127    10.74775257    2.377709064            100            100            100 
40           NO_ID    2.280700444    2.372839028    1.966463011     2.08831097    1.850791571    2.180146185    2.138066533    2.252037711    2.485620341    10.62622605    5.911686209    3.436506921            100            100            100 
41           NO_ID    2.284128207    2.273355488    1.881571494    2.048175697    1.955850426    1.893377622    2.332910416    2.513004222    2.517971989    7.121620437    11.05050361    9.990858597   0.2379859086  0.03137913639  0.03592140158 
42           NO_ID    2.284452934     2.31423982    1.709043995    1.919427479    1.884083873    1.861006902    1.835344854    2.431417494    2.531008559    10.31148465    11.36710571    10.04606112            100            100            100 
43           NO_ID    2.284740144    2.161619732    2.027801539    1.810608093    1.702633849    1.992978386    1.813809831     2.38926966     2.48414882    10.88409471    10.54674424    10.38523271   0.4320806233  0.03275171784   0.0373024708 
44           NO_ID    2.285431557    2.004720487    1.800584932    2.130473329    1.895140441    1.919122294    2.149713483    2.302107767    2.413317471    3.018816944    5.462468452    7.167263096            100            100            100 
45           NO_ID    2.288426749    2.219128816    1.799252344    1.967456814    1.826093621    1.888403672    2.226358064    2.024408416    2.254581611    5.261421111    1.268886852    3.798884407   0.8198178119 0.008061510329  0.01085827448 
46           NO_ID    2.288990489    2.236643786    2.066791444    2.155521907    1.649063026    1.875043278    2.309120608    2.584700531    2.246135705    11.00950783    1.849172071    3.186957676   0.2349778184 0.001445113183  0.00308900458 
47           NO_ID    2.289907861    2.188666737    1.828273404    1.851004458    1.810677953    2.038122304    2.104791249    2.109818015    2.025512529    5.433796609    10.15855837    6.165479033   0.9261403349   0.1032496682   0.1024607367 
48           NO_ID    2.292044842     2.10747952    2.180977075    1.932052689    1.836095075    2.193985931    1.970404993    2.023118191    2.434665868    10.29400571     3.04822959    5.378013831            100            100            100 
49           NO_ID    2.296164779     2.16731369    1.740061795    2.097892931     1.90049304    2.165865489    2.355742637    2.189280275    2.066982486    3.478138918    2.683409511    1.422293321            100            100            100 
50           NO_ID    2.296209632    2.270994813     1.89752457     2.12789413    1.830601944    2.113310285    2.152096254    2.288272601    2.188543863    2.276578239    4.219940087    8.775276654            100            100            100 
51           NO_ID    2.297495398    2.000487417    1.960307772    1.828256405    1.673383938    1.949185743    2.153179159    2.212593776    2.230859345    9.075281833     2.16607538    1.471400126            100            100            100 
52           NO_ID     2.29773386     2.19812846    1.865032102    2.147382426    1.669072153    2.024194164    2.066203538     2.08291818    2.537533064     8.20596154    4.802488197   0.9896755763    1.025871434   0.3211024587   0.3236727438 
53           NO_ID    2.298058778    2.072516471    1.859159143    2.079493111    1.714746673    1.863952851    2.320733278     2.48329284    2.072310243    3.676328851   0.6877575464     1.95713479            100            100            100 
