%eval_id interface    DAKOTA_RC_1    DAKOTA_RC_2    DAKOTA_RC_3    DAKOTA_RC_4    DAKOTA_RC_5    DAKOTA_RC_6    DAKOTA_RC_7    DAKOTA_RC_8    DAKOTA_RC_9    DAKOTA_EP_1       obj_fn_1       obj_fn_2       obj_fn_3 
1            NO_ID    2.000025873    1.907577738    1.446071787    1.815926568    2.075652282    2.173191873    1.940489506    2.030807097    2.059835955    4.056075227            100            100            100 
2            NO_ID    2.001873315    1.862703494    1.233449008    1.691666339    1.840453806    2.030531274    1.937768675    2.107246998     2.26893025     3.12240884  0.01769700386   0.3466077324   0.3567214149 
3            NO_ID    2.003190491     1.80979964    1.063916173     2.00710819    1.878772508    2.119272548    1.997587598    2.190606904    2.274256731    4.864170064  0.01179626978   0.0016232884 0.001029803368 
4            NO_ID    2.004311365     1.61137201   0.8610211097    2.081090008    1.803986604    1.803321928    1.922852649    2.120817692    2.254640669    1.007334263            100            100            100 
5            NO_ID    2.005231336    1.891098503    1.074664166      2.1919179    2.178113729    2.017206781    1.964034098    2.104731781    2.195112689     9.69249664  0.06442382465 0.001948710536 0.001406866469 
6            NO_ID    2.005901719    1.822893892     1.31778399    1.919515321    1.617956466    2.199090943    1.938754811    2.390463124    2.061540691    2.850153198  0.01539800114    0.341230305    0.351252771 
7            NO_ID    2.007710825    1.610181599   0.8083139326     2.12669719    1.923527599    1.947099055    1.980920947    2.231556413     2.21553596    11.87319182 0.009739592408   0.1159786164   0.1072483543 
8            NO_ID      2.0082911    1.681318359    1.541932248      2.1054962    2.101032554    1.862977745    1.938701918    2.186137385    2.393608337   0.8851793114            100            100            100 
9            NO_ID    2.008928024    1.984273273    1.090628894    1.726772967    1.688332825    1.802633377    1.899263011    2.192729514    2.349063101    6.152293584            100            100            100 
10           NO_ID    2.010475997     1.88114745    1.509420342    2.130431854    1.856122415    1.947157478    1.870599029    2.125268043    2.115330313    10.49634972            100            100            100 
11           NO_ID    2.013904114    1.820863935    1.387768622    1.665279952    1.967125183    1.828804547    1.856790342    2.384097785    2.262400759    3.658647762            100            100            100 
12           NO_ID    2.014210897    1.921709309    1.342788517      1.6735318    1.847399301    1.810361671    1.887073518    2.190834466    2.108750514    3.067527312            100            100            100 
13           NO_ID    2.014547933    1.933928674   0.8547317222    1.776939568    1.743435241    1.987450112    1.872784523    2.229742392    2.029148059    4.159699097  0.01513637197  0.01113717839 0.005969303619 
14           NO_ID     2.01814468    1.707441512    1.185574905     2.10267413    1.786544107    1.896423692    1.984152779    2.059690969    2.010072265    2.650560458            100            100            100 
15           NO_ID    2.018503939    1.786184762    1.383421715    1.888636139    1.851370599    1.871117005    1.998835296    2.236982998    2.397681618    2.277941628            100            100            100 
16           NO_ID    2.019400083    1.692754584    1.006823557    1.842542231    1.840126376    1.827609334    1.867059449    2.241697947    2.393087591    10.74244671            100            100            100 
17           NO_ID    2.021156027    1.956433138    1.348948328    1.740560633    2.171870595    2.147636436    1.992090903    2.103005565    2.132900647    3.790812461  0.01872934372 0.001516854952 0.001123882806 
18           NO_ID    2.021727409    1.701639548   0.8989391104    1.795889521    1.643138279    1.999800565    1.969693639    2.219078779    2.251111777    4.810505839 0.008704199334 0.007044784652 0.008021514605 
19           NO_ID    2.022968532    1.782677026    1.569007973    1.840450923    1.865933438    2.169913139    1.988753698    2.105357155     2.07464492    5.178602577            100            100            100 
20           NO_ID    2.027480115    1.626906654   0.9492340241    2.195032832    1.982300849    2.144329773    1.969887351    2.110657609    2.001298895    7.227610904   0.5046887414    0.278474469   0.2819663415 
21           NO_ID    2.027603437    1.748641338    1.099132095    1.966491912    1.914628346    2.109868585    1.837429608     2.08528958    2.017115582    10.31368396   0.0115601844 0.002004885739 0.001640269735 
22           NO_ID     2.02787914    1.901040323    1.515785721    1.901424096    1.994415805    2.094916232    1.977965466    2.217899326     2.16886904    10.56004234            100            100            100 
23           NO_ID    2.028440376    1.927761613    1.016397641    1.921178958    2.102081689    2.188578383    1.881704651    2.091650757    2.110996292   0.7422978583  0.01821406006 0.0002400191366 0.001064798325 
24           NO_ID    2.038572584    1.657222442    1.067458586    2.072387196    2.084941252    1.945523004    1.927058149    2.270115436    2.078127937    3.055571416 0.008985835543 0.001165121147 0.0005018928326 
25           NO_ID    2.042078818    1.750464415    1.380038921    2.034168228    1.724230349    1.825515402    1.918579123     2.38148041     2.16821047    7.943826124            100            100            100 
26           NO_ID    2.042209579    1.923132366   0.9399881364    2.099113364    1.966647376    1.864918939    1.887862764    2.021103443    2.289030679    9.990039875            100            100            100 
27           NO_ID    2.042521405     1.79676704   0.8608941328    2.047197094    2.061841948    1.947982401      1.9160496    2.304332983     2.13590919    1.182746307  0.01212582824  0.01165157786 0.008594426663 
28           NO_ID    2.044487347    1.649013002    1.033910848    1.606176335    1.769055674    2.082422804    1.851347042    2.127760397    2.246387918    0.972608496 0.009117306469 0.0004378484444 0.0003583535531 
29           NO_ID    2.047574707    1.912979451    1.367156144    1.993553589    1.735473299     1.98267804    1.979710715     2.20297804    2.351451252    3.004279533  0.01743640885 0.001286602505 0.0008641620027 
30           NO_ID    2.048094298    1.761549963    1.454101094    1.688008874    1.740988106    2.057819148    1.929463805    2.212049011    2.316298412    3.480659999            100            100            100 
31           NO_ID    2.049919998    1.641284377    1.550129433    2.123488128    1.966776679    1.848704799    1.902703848    2.199622885    2.118599612    5.948157825            100            100            100 
32           NO_ID    2.054652405    1.925472577    1.146140516    2.142855322    2.105535058    1.954981534    1.977477728    2.273952808     2.39607048    10.60393525  0.01622367623 0.001447808993 0.001072298758 
33           NO_ID     2.05560363    1.891574604    1.430030946    1.630302159    2.001885187    1.998047147    1.898037918    2.385231293    2.277190374    10.36249598            100            100            100 
34           NO_ID    2.058551187     1.79194344   0.8952044052    1.781906566    1.764568921    2.104912639    1.993945939    2.007683514    2.311351039   0.8477451116   0.2485516636  0.00814058755 0.009062099978 
35           NO_ID     2.06400207    1.736496962   0.8211565688    2.098663162    2.096152902    2.000255028     1.85902847    2.058479264     2.25709439    4.909393656  0.01032163909   0.1261719852   0.1173411884 
36           NO_ID    2.071499899    1.723082767    1.519260419     1.69553617     1.84820107    1.898576527    1.807528307    2.363965114    2.329726199    9.003562296            100            100            100 
37           NO_ID    2.072685724    1.866340402    1.494848018    1.645867877      1.7009347    2.010367879    1.962747408    2.023220731    2.028267206    2.830915713            100            100            100 
38           NO_ID    2.074155517    1.936568031    1.003379558    2.140534887     2.13876243     1.95611312    1.846101677    2.333696295    2.292189557    4.937901168  0.01513320622 0.001445137941 0.002252259424 
