%eval_id interface    DAKOTA_RC_1    DAKOTA_RC_2    DAKOTA_RC_3    DAKOTA_RC_4    DAKOTA_RC_5    DAKOTA_RC_6    DAKOTA_RC_7    DAKOTA_EP_1       obj_fn_1       obj_fn_2       obj_fn_3 
1            NO_ID    1.401879919    1.610250857    1.577930405    1.131830786    1.167216826    1.577835219    1.794300425    6.517257507            100            100            100 
2            NO_ID    1.402932343    1.310713385    1.398762589    1.399985313    1.231133749    1.546031558    1.527864973    5.644234492 0.009351154899 0.003406424555 0.002349090617 
3            NO_ID     1.40323415    1.562243631    1.339914075    1.137353416    1.015263904    1.764888914    1.743801221    10.15826618            100            100            100 
4            NO_ID    1.404209134     1.38600008    1.466191552    1.295966126    1.496839134    1.772214054    1.499004944    2.820654397            100            100            100 
5            NO_ID    1.405402298    1.639433483    1.390664629    1.429376985    1.362916598    1.435345423    1.708053775    3.583985127            100            100            100 
6            NO_ID    1.408063256    1.542157994     1.47259298    1.391276588    1.161815081    1.785499741    1.438410563    9.209937392            100            100            100 
7            NO_ID    1.408108314    1.408848956    1.485630641    1.453429977    1.493530785    1.557351796    1.789098388    7.380207492            100            100            100 
8            NO_ID    1.408275189    1.467779049    1.525494566    1.120486312    1.165834953    1.569295786    1.759095185    1.258750689            100            100            100 
9            NO_ID     1.41445022    1.529606469    1.628628284    1.248648221    1.464597506    1.594435239    1.637756728    0.051025847            100            100            100 
10           NO_ID    1.414507156    1.414551947    1.601755287    1.410813473    1.076710194    1.649626644    1.409045291    0.125851281            100            100            100 
11           NO_ID    1.416890591    1.526809084    1.465083084    1.352117997    1.180966234    1.598853934    1.599513816    6.594880379            100            100            100 
12           NO_ID    1.416894847    1.543296245    1.623065507     1.46448809    1.178981811    1.758644824    1.420030333    7.663982909            100            100            100 
13           NO_ID    1.417280858    1.542526882    1.576210054     1.38031344    1.123962912    1.692511987    1.538675108   0.6564659908            100            100            100 
14           NO_ID    1.418489725    1.404653095    1.513016694    1.489324579    1.226600201    1.580144454    1.627436001    11.65835372            100            100            100 
15           NO_ID    1.425073387    1.302580202    1.374154622    1.196212114    1.222799066     1.42828842    1.424594283    1.203118779  0.00258391923 0.002001646529 0.001734510202 
16           NO_ID    1.430022857     1.66400135    1.607872489    1.163226851    1.162080276    1.775035767    1.541622337    3.418567078            100            100            100 
17           NO_ID    1.430899838    1.414851564    1.580186016    1.126359227    1.099248711    1.655291727    1.495993719     2.27750791            100            100            100 
18           NO_ID    1.433417326    1.611447505    1.641552499    1.434085621     1.31201808    1.742865541    1.580972311    11.92452039            100            100            100 
19           NO_ID    1.436019385     1.55453418    1.478789391    1.132681725    1.294102594    1.775062936    1.770480677    1.595583011            100            100            100 
20           NO_ID    1.436800781     1.53370599    1.463418631    1.484072011    1.004619837    1.544650577     1.52407764    5.834664526            100            100            100 
21           NO_ID    1.437043804     1.65942952      1.3995237    1.165729569    1.408810805    1.792322061    1.634422768    11.27030156            100            100            100 
22           NO_ID    1.437785551    1.683047579    1.680265554    1.457935148    1.356354963    1.695852928    1.779151739    8.175898604            100            100            100 
23           NO_ID    1.438037286    1.550303437    1.447624246    1.219773222    1.066806319    1.420463094    1.442287939    8.094896434            100            100            100 
24           NO_ID    1.442876543    1.577219292    1.417102532    1.489964355    1.145173197    1.555519113    1.710254236   0.5881459194            100            100            100 
25           NO_ID    1.445023599    1.403905617    1.358461036    1.363865006    1.220475456    1.486639297     1.73243077    8.413907321  0.01012635311 0.004207571106 0.0004733347831 
26           NO_ID    1.445191492    1.518625144    1.349899315    1.294269388    1.141914085    1.705005664    1.515936237    9.196065002            100            100            100 
27           NO_ID    1.446821866    1.697439895    1.422337219    1.131153931    1.053081111    1.724354181    1.471266768    2.995845958            100            100            100 
28           NO_ID    1.447196503     1.58962081    1.404253966    1.329546133    1.442458081    1.686030628    1.772799395     4.14636174            100            100            100 
29           NO_ID     1.44728385     1.52446459     1.56944573    1.393338415    1.325977217    1.731367182    1.665360521    1.265102395            100            100            100 
30           NO_ID    1.448532526    1.375433567    1.611882884    1.159236985    1.174484996    1.572060609    1.535680913     7.36839002            100            100            100 
31           NO_ID    1.448628075    1.471004969    1.607264871    1.291771015    1.380330951    1.558983719    1.612677678     1.81008363            100            100            100 
32           NO_ID    1.448877152    1.341656716    1.524753605    1.452285333    1.250701473    1.641154989    1.670143735    5.672163307            100            100            100 
33           NO_ID    1.449892568     1.32681751    1.486002307    1.270557552     1.29170945    1.588055353    1.783320896     1.62614462            100            100            100 
34           NO_ID    1.453417884    1.355151987    1.407864348    1.199196882    1.227937037    1.464345655    1.581776662    4.297597861  0.00229996012 0.002042658799 0.0004990587925 
35           NO_ID    1.454702104    1.578233097    1.577217226    1.299475091    1.096358789    1.476731042    1.419304437    1.007872548            100            100            100 
36           NO_ID    1.455780772     1.31237165    1.337096724    1.107862204    1.156953662    1.712307378    1.629445491    9.449016546 0.001901221919 0.008244160743 0.006375341716 
37           NO_ID    1.457396643    1.539113687    1.347975041    1.282959573    1.189276331    1.677420531    1.497926791    8.441538377            100            100            100 
38           NO_ID    1.459771296     1.44380726    1.409291209    1.175569587    1.395150091    1.588777758    1.527203889    10.41059733 0.004778832596 0.0001907150655 0.0007707067812 
39           NO_ID    1.461535389    1.558492924    1.464691185    1.381969941     1.16470956    1.498668174    1.658042384    4.507721193            100            100            100 
40           NO_ID    1.462049446    1.415258421    1.474900843    1.322754498    1.359467967    1.617192622    1.664958218    8.753505241            100            100            100 
41           NO_ID    1.465739469    1.341870574    1.412328395    1.209188949    1.064059596    1.447817657    1.495233503    6.362323336 0.002097230996 0.0005873657107 0.0009411035324 
42           NO_ID    1.468008584     1.39465614    1.592732285    1.119647783    1.108375821    1.474488747    1.424704867    4.016914813            100            100            100 
43           NO_ID    1.471451841    1.386393897    1.684602595    1.253973444    1.343007601    1.533614259    1.568595054    8.120268952            100            100            100 
44           NO_ID    1.473290908    1.416392469     1.66335321    1.394957888     1.19045985    1.464097379     1.46122913   0.7998456307            100            100            100 
45           NO_ID    1.475056358    1.457654787    1.570974574    1.405942397    1.243656038    1.699929303    1.618382784    7.991300156            100            100            100 
46           NO_ID    1.481435739    1.686340109    1.667623755    1.359674992    1.018285661    1.792218038    1.699778951   0.6821052826            100            100            100 
47           NO_ID    1.481554348    1.334181797    1.357439168    1.172162208    1.103152003    1.588012184    1.549011664    0.438648306 0.002258320921 0.002414105298 0.002986751435 
48           NO_ID    1.483468456    1.571041933     1.34735629    1.107511688    1.379260227    1.558904463    1.416401384    9.535752066            100            100            100 
49           NO_ID    1.484502563    1.613165669    1.391822801    1.489369152    1.199310754    1.502734546    1.787520122    2.755744375            100            100            100 
50           NO_ID    1.484742107     1.31060362    1.307294672    1.283912436    1.378894509     1.54596978    1.605794636    8.969333409 0.003339784333 0.004297890123 0.0002137488228 
51           NO_ID    1.484846464    1.682083972    1.418058296    1.419738588    1.167747501    1.542071536    1.665806955    2.673255188            100            100            100 
52           NO_ID    1.485697199    1.313547275    1.515740465    1.234359009    1.303111454     1.75986381    1.667762926     2.46104014            100            100            100 
53           NO_ID    1.486241595    1.583760202    1.377684352    1.271541449    1.341322709    1.535042799    1.444123986    6.854773491            100            100            100 
54           NO_ID    1.490346748    1.665206617    1.557957679    1.118031251    1.253837815    1.526091496     1.58671562    9.983462215            100            100            100 
55           NO_ID     1.49209836    1.314287212    1.511771519    1.214166617    1.003610403    1.616126302    1.696592643    2.285376913            100            100            100 
56           NO_ID    1.492837604    1.554060611    1.672944516    1.222662255    1.282075404    1.470815939     1.58953071     4.70068668            100            100            100 
57           NO_ID    1.493284381    1.386126609    1.430711745    1.332872378    1.322734023    1.666392658    1.478485378  0.08261844706 0.007942999714 0.0005466417968 0.004642634772 
58           NO_ID    1.496550507    1.330718289    1.611708441    1.104740776    1.371316212    1.574193614    1.447268969     6.83638982            100            100            100 
59           NO_ID    1.500403124    1.441016195    1.612894827    1.496647323    1.307568206    1.436317184    1.461921451    11.16066319            100            100            100 
60           NO_ID    1.501066994    1.385409592    1.676166819    1.195891622    1.303451736    1.765265207    1.741898538    6.893760573            100            100            100 
61           NO_ID    1.504083213    1.335416006     1.59961786    1.384255595     1.01559524    1.635930367    1.450211016    11.86113179            100            100            100 
62           NO_ID    1.505937586    1.434030255    1.339403454    1.295944964    1.126175457     1.40235226    1.464404402    8.818505755 0.003563625962 0.002855511298 0.001177385591 
63           NO_ID    1.506025004    1.672506121    1.485632876    1.257272681    1.025404721    1.680866379    1.769350125    1.612233097            100            100            100 
64           NO_ID    1.506318225    1.492715382    1.646622614    1.318054002    1.137125467    1.642215225    1.534393567    3.809436966            100            100            100 
65           NO_ID       1.507949    1.512391445    1.614328646    1.372002972    1.124641436    1.680759329    1.672268671    8.000068488            100            100            100 
66           NO_ID    1.508344827    1.595591267    1.331486546     1.25072657    1.089534238    1.498469638    1.797851412    1.340467925            100            100            100 
67           NO_ID    1.508708431    1.301202329    1.320636005    1.109379788    1.476659675    1.548563918    1.769822441    3.157812334  0.00357885169 0.009739363487 0.008238957726 
68           NO_ID    1.509497133    1.669973382    1.379100863    1.337549328    1.057223748    1.527197643    1.756481307    2.477393395            100            100            100 
69           NO_ID    1.511176242    1.502796475    1.563938081    1.252126028    1.329816847    1.545252673    1.467468476    7.451978856            100            100            100 
70           NO_ID    1.511281827     1.48507928    1.524695786    1.108669623    1.385237836    1.666334681    1.662485173    1.275845804            100            100            100 
71           NO_ID    1.512168414    1.457092455    1.423883936    1.423578755    1.288607548    1.437270044    1.428954728    9.373211608  0.01111411038 0.002140600776 0.001691107702 
72           NO_ID    1.512280648    1.649907963    1.627545215    1.311993797    1.288334114    1.599813886    1.478662747    11.43872534            100            100            100 
73           NO_ID     1.51551333    1.597033203    1.671537287    1.431321617    1.051187232    1.461057002    1.681314592    9.460273453            100            100            100 
74           NO_ID    1.516141557    1.302671115    1.348348985    1.457377958    1.341023141    1.679341741    1.641490902   0.6055561102 0.007992260423 0.001557512743 0.002177315132 
75           NO_ID     1.51668058    1.677441218    1.441810731    1.157683439    1.162235638    1.480062581    1.659322528    4.328869976            100            100            100 
76           NO_ID    1.520412258      1.4033945    1.656216085    1.399174532    1.106624817    1.789297966    1.457358447    8.177476117            100            100            100 
77           NO_ID    1.522055303     1.53204863    1.464719172    1.234531494    1.084973747    1.614930189    1.529902554    11.56605084            100            100            100 
78           NO_ID    1.523866837    1.508085015    1.495562571    1.155956908    1.072621953    1.782847096    1.727544117    5.355294616 0.001390466151 0.005638553065 0.005289865379 
79           NO_ID    1.523932671    1.537219121    1.336012241    1.140052744    1.032496099     1.56321613    1.787072655    9.888786043            100            100            100 
80           NO_ID    1.524437818    1.315016986    1.528726444    1.178891065    1.093441899    1.502926285     1.67328893    10.60013258            100            100            100 
81           NO_ID    1.524843442    1.401922105    1.513026238    1.485625216    1.041611607     1.47838676    1.427795296    11.34611182 0.004497724274 2.112570371e-05  0.00236999603 
82           NO_ID    1.524978446    1.668267799    1.659379151    1.352009926     1.27554319    1.673274724    1.733976989    11.28217331            100            100            100 
83           NO_ID    1.525967542    1.445071122    1.651625808    1.154141553    1.234628516     1.49326759    1.699113773    9.380437758            100            100            100 
84           NO_ID    1.528347742    1.592282096    1.473946661    1.195983057    1.254566063    1.529904951    1.452327873     4.19530493            100            100            100 
85           NO_ID    1.529711822    1.488243974    1.536789741    1.470435091    1.324637674    1.709320632    1.501683702    5.132491962            100            100            100 
86           NO_ID    1.529963548    1.363716081     1.43922934    1.410095567     1.20767509     1.70690208    1.400278982    6.125320732 0.006404367905 0.001423221807 0.002132649704 
87           NO_ID    1.531016827    1.688374839    1.510245349    1.120934286    1.302256561    1.674325569    1.479751125    5.556509617            100            100            100 
88           NO_ID    1.534184687     1.43047608      1.5339691    1.168631253    1.451776946    1.693465387    1.630514849    9.238057091  0.00398119218 0.002910035004 0.003243786701 
89           NO_ID    1.534337924     1.36449201    1.666555363    1.272446469    1.351509655    1.605078729     1.73499283    3.388212703            100            100            100 
90           NO_ID    1.534459081    1.380652159    1.487008166    1.273616965    1.434491554    1.699889203    1.435579317    1.666267288 0.004168387846 0.002036378873 0.001452034054 
91           NO_ID    1.537968355     1.30955337     1.36136383    1.471335915    1.247010904    1.444684725    1.425540735    5.984659248 0.007114252967 0.001444125878 0.001503180108 
92           NO_ID    1.541170777     1.67031938    1.361502288    1.130320304     1.27355176    1.472474748    1.428178261    2.056972913            100            100            100 
93           NO_ID     1.54456673    1.621313789    1.302885681    1.264890507    1.252725211    1.772235806     1.61863161    11.83482158            100            100            100 
94           NO_ID    1.546240253    1.481223091    1.328132183    1.376028763    1.326607091    1.687454711    1.420324429    1.677006009  0.01502611268 0.0004087943092 0.002885559492 
95           NO_ID    1.547139906    1.338160339    1.517470171    1.183739544    1.283881886    1.748875082    1.551356009   0.1327655297 0.002198152996 0.001526946558 0.002563192168 
96           NO_ID    1.547219432     1.44507618    1.485029303    1.217637125    1.111538383    1.602839526    1.474378016    7.091118373 0.002377597527 9.230053981e-05 0.001825781824 
97           NO_ID    1.547366691    1.648095288      1.5740773    1.363505248    1.129518001    1.584331535    1.683110112    9.811842821            100            100            100 
98           NO_ID    1.547869549     1.47381504    1.496468907    1.244326718    1.426253573    1.552347292    1.738251851    6.049172661 0.003734033652 0.001664414495 0.0009983395591 
99           NO_ID    1.550623553    1.568194698    1.315993393    1.411441441       1.439549    1.792044517    1.581756461   0.1517125034            100            100            100 
100          NO_ID    1.555637892    1.445215001    1.470676106     1.33694425    1.463543568    1.476627065     1.76712776    7.143342681 0.004009341935 0.001250449225 0.001747530747 
101          NO_ID     1.55607136    1.600787578    1.631129582    1.148955088    1.019747864    1.572312814     1.47948655    1.549029072            100            100            100 
102          NO_ID    1.557205517    1.447903228     1.62395058    1.310650572    1.210457902    1.766238519    1.480480453    8.901421905            100            100            100 
103          NO_ID    1.558436589    1.445629217    1.364927712     1.38810081     1.15083123     1.60655005    1.402053046    6.382900321 0.004051268604 0.0001226283779 0.002198161251 
104          NO_ID    1.560357768    1.384689797    1.412037686    1.280927185    1.277083726    1.435975411    1.500744169    4.988137261 0.0009046228875 0.001613381287 0.001211364005 
105          NO_ID    1.560829767     1.68559967    1.516214002    1.229475054    1.375835369    1.738166959    1.401313042    7.406600686            100            100            100 
106          NO_ID     1.56332703    1.441687638    1.467447733    1.167591791    1.375839197    1.780125412    1.527927912     10.8132796  0.00397447032  0.00326883019 0.003009578274 
107          NO_ID    1.563467868    1.419241809    1.582821105    1.414888933    1.495827925    1.780747895    1.596273545    10.13396856            100            100            100 
108          NO_ID      1.5644091    1.556161602    1.607728622    1.303348177     1.42621493    1.485880618    1.612198194    1.945163432            100            100            100 
109          NO_ID     1.56649257    1.355104825    1.689454575    1.139311083    1.418058207    1.630945478    1.459496287     4.85650787            100            100            100 
110          NO_ID    1.566658983    1.660552317    1.357015047    1.299948269    1.048673845    1.484810342    1.578151997   0.2655005046            100            100            100 
111          NO_ID    1.566955801    1.569864224    1.695926027    1.249324444     1.20102236    1.483444502    1.776051123     8.10945062            100            100            100 
112          NO_ID    1.568899381    1.389981329    1.552267226     1.21002075    1.367297641    1.451413781    1.617801102    1.747416398 0.004970002299 0.0003889203119 0.001410293248 
113          NO_ID    1.569029931    1.320929172    1.321648765    1.386351679    1.410217514    1.442631691    1.541641782    7.349166594 0.006540441787 0.0001202034559 0.001724826384 
114          NO_ID    1.570606036    1.660451793    1.612654492    1.133287668    1.037280814    1.771599713    1.497871423     2.00605365            100            100            100 
115          NO_ID    1.572588952    1.598098108    1.300245756    1.147086712    1.015622442    1.565217312    1.568223624    3.553066198            100            100            100 
116          NO_ID     1.57706098    1.617311128    1.449546187     1.33820769    1.261491276    1.509853992    1.780790139    2.622450684            100            100            100 
117          NO_ID    1.577320009     1.64165026    1.388550752    1.119125258    1.269969786    1.568301877    1.604342245   0.1994652842            100            100            100 
118          NO_ID    1.577478732    1.326306213    1.440244844    1.345457729    1.301545501    1.670147398    1.630992757    8.523388332 0.006953620032 0.0004451139844 0.001572327901 
119          NO_ID    1.577545849     1.55705817     1.64388061    1.172698493    1.307922817    1.478855537    1.712185487    8.142349221            100            100            100 
120          NO_ID    1.578452061    1.526099716    1.601395185    1.303864585    1.394918826    1.563821456     1.40675584   0.9622985204            100            100            100 
121          NO_ID    1.581210336     1.57638449    1.356330705    1.227756724    1.426401711    1.603856784    1.599146555    3.233410563  0.00338889771 5.682387132e-05  0.00108239976 
122          NO_ID    1.581388306     1.31354726     1.32616366    1.469091119    1.133518562    1.725277433    1.681772377     5.05050717 0.003738504311 0.0005070077943 0.001631348265 
123          NO_ID    1.583770357    1.346463562     1.35032018    1.415538005    1.181414671    1.708362564    1.465795378    10.45359018 0.005717082598 0.0006748079826 0.0008155601457 
