%eval_id interface    DAKOTA_RC_1    DAKOTA_RC_2    DAKOTA_RC_3    DAKOTA_RC_4    DAKOTA_RC_5    DAKOTA_RC_6    DAKOTA_RC_7    DAKOTA_EP_1    DAKOTA_EP_2       obj_fn_1       obj_fn_2       obj_fn_3 
1            NO_ID    1.700036704    1.577330033    1.547194565    1.770307064    1.892188434    1.992465923    1.760803011   0.8281519603    4.581956329            100            100            100 
2            NO_ID    1.700689675     1.75571698    1.723188222    1.855132645    1.800245043     1.74274014    1.969921567    10.74812221    11.34754316            100            100            100 
3            NO_ID    1.705221825     1.72938049    1.387194011    1.985348322    1.739391611    1.962554894    1.942886579    11.15538947    11.19791436            100            100            100 
4            NO_ID    1.707226059    1.892077335     1.44830538    2.092001114    1.986668099    1.717061863    1.836419105    6.825448397    3.688219167            100            100            100 
5            NO_ID    1.707289991    1.887779734     1.77239441    2.074771345    2.054414903    1.850557336    1.831338191     1.21496413     1.88424695            100            100            100 
6            NO_ID    1.708144949    1.848079576    1.181839186    1.859949216     1.87749073    1.770549628    2.047369158    2.287379679    5.538616706            100            100            100 
7            NO_ID    1.708316639    1.820602407    1.443311878    1.871406639    1.987586143    1.819818385    1.777635402    11.76067147    4.867559677            100            100            100 
8            NO_ID      1.7088415    1.560938651    1.435645295    1.794787913    2.036875004    2.064049762    2.044479831    9.963722275    5.445248329 0.004123875078 0.000939213114  0.00120489019 
9            NO_ID    1.709222323     1.77558767    1.226247161     2.07368789    1.748303316    1.736544296    1.715594142    4.413601551    6.194625503            100            100            100 
10           NO_ID    1.709404765    1.854030851    1.668801295    1.963204158     1.73311227    1.823388237    1.850130066    5.769488792    8.229503842            100            100            100 
11           NO_ID    1.711654213    1.630365882    1.701939856    1.795261824    2.006222856    1.847104168    1.892098351    2.002387987   0.1952169278            100            100            100 
12           NO_ID    1.712215128    1.831662724    1.775622407    1.840771497    1.908170356    2.075409953    1.861662501      11.040978   0.4735040089            100            100            100 
13           NO_ID    1.712264887    1.868016121    1.507136574    1.954305516    1.899563131    1.927920199    2.056343344    1.861797905     7.70390859            100            100            100 
14           NO_ID     1.71359848    1.833043954    1.213172771    2.061428076    1.941353418    1.916640288    1.862940889    5.532926406    6.603511437            100            100            100 
15           NO_ID    1.713647255    1.869524565    1.752780879    2.035990019    1.819142716    1.835799832     1.83688876    6.520972842    1.762847057            100            100            100 
16           NO_ID    1.714995418     1.83959299    1.300919139    1.830741887     1.99408737    2.066202982    1.709495451    3.462678447    2.051045471            100            100            100 
17           NO_ID    1.717784107    1.857781724     1.34946975     1.92985576    1.881553959    2.014179758    1.844459502    11.72579004    1.042437025            100            100            100 
18           NO_ID    1.717861839    1.699171045    1.585737369    1.983835764    1.987607684    1.742531054    1.973493944    9.343737545    2.363553466 0.004131452142 0.000175712368 0.0004956779583 
19           NO_ID    1.722604495    1.803009263    1.500144006    1.882765609     1.88028832    1.955769194    1.799936239    2.731048058    7.704417987            100            100            100 
20           NO_ID    1.724503467    1.506843394    1.469527344    1.726863296    2.093529004    2.040942648    1.985064842    7.799915938   0.9284937069            100            100            100 
21           NO_ID    1.730614683    1.700070424    1.603823016    1.749202376    1.832694791    1.897939015    1.917743492    6.516198605    9.930163062 0.005356684379 0.0003671600642 0.0009336387628 
22           NO_ID    1.732940344    1.872993744     1.49657062    1.755517737    1.897882197    1.906702509    1.803881892    1.268124166    6.137320242            100            100            100 
23           NO_ID    1.733606024    1.622227057    1.362242106    1.890636753    1.799145356     1.84702126     2.05584112    3.579872273    4.692150483            100            100            100 
24           NO_ID     1.73416343    1.712409223    1.772086123     1.75369277    1.904431513    1.951522461    1.890927674    1.099923604     9.86707165            100            100            100 
25           NO_ID    1.737729713    1.811135649    1.211475979    1.836844104    2.026131067    1.703293549    1.951655041    1.706188639    8.921427558            100            100            100 
26           NO_ID    1.738838957     1.81581305    1.683401265    1.976748718    1.945915383    2.091525212    1.842263545    9.862487816    1.474603985            100            100            100 
27           NO_ID    1.740714001    1.516624199    1.765458268     2.02208503    2.097965881    1.739100992    1.863753261    2.322352796    3.673307499            100            100            100 
28           NO_ID     1.74181998    1.646562926    1.662056179    1.865433991     1.82277068    1.824302296    1.930297644    2.613878836   0.8056848053            100            100            100 
29           NO_ID     1.74370742    1.890319522    1.166192857    1.706736219     2.03310959    1.813747084    1.901799818    2.323220552    9.783032688            100            100            100 
30           NO_ID    1.743852714    1.892243012    1.441101936    2.022959031    1.788453156    1.853578491    1.812848203    9.606767618    3.616746908            100            100            100 
31           NO_ID    1.744420867    1.725173175    1.752884088    1.728645307    2.049685607    2.030342846    1.718219499    3.481503715    9.943853498            100            100            100 
32           NO_ID    1.744865958    1.666397276    1.200316935    1.892247215    2.077937666    1.993044573    1.969729604    9.754592231    5.195581474 0.003919051259 0.0007055277992 0.001056538452 
33           NO_ID    1.745206065    1.559344132    1.208767894    1.845256202    1.966649735    2.030790525    1.862719449    6.162760017    2.213451333            100            100            100 
34           NO_ID    1.745769101    1.579639084    1.494248089    2.055010577    1.901629174    1.823621387    2.051381346     10.5142627    11.44290902 0.008303009311 0.001534256355 0.001697257972 
35           NO_ID    1.745861246     1.85757832    1.795482449    1.825431826    1.847295836    2.025174292    2.092467955    11.98494971    3.481599224            100            100            100 
36           NO_ID    1.746954933    1.881507069    1.139495748    1.832392822    2.025976296    1.957056117     1.88106911   0.7736028306   0.5850046559            100            100            100 
37           NO_ID    1.751033508    1.868621748    1.361731901     2.00054161    1.856616193    1.860698958    1.872744075   0.0933915284    2.860613327            100            100            100 
38           NO_ID     1.75175583     1.67049434    1.235043503    1.766851887    2.068115425    1.934921717    1.923281518      3.5311669    7.206309532 0.002960676393 0.0006388490011 0.001084198613 
39           NO_ID    1.752708211    1.625582742    1.636480472    2.057745658    1.807246362    1.918378023    1.930815704     3.14080343    8.441130877            100            100            100 
40           NO_ID    1.753183467    1.876984234     1.22880465    1.743968067    1.963296148    1.724364645    1.905157208   0.4708963709    3.472394073            100            100            100 
41           NO_ID    1.753661513    1.633312498    1.641130489    1.970876904    1.808667867    2.089537516    1.793104424    11.60605394    8.418392897 0.006880374333 0.0005128408902 0.0009878127643 
42           NO_ID    1.755413552    1.583075697    1.405952621    1.702544631    1.765058872    1.868625012    1.727478045    4.789288102    1.387682515            100            100            100 
43           NO_ID    1.756264526      1.5006459    1.172644884    2.036829893    1.895475037    1.853670967    2.077866347    6.498573267    9.286139761            100            100            100 
44           NO_ID    1.760453083     1.88453532    1.366316587    1.952245618    1.768481058     2.05310318    2.072787746    6.047407857    8.513103849            100            100            100 
45           NO_ID    1.766021569    1.687254181    1.672103764    1.888962208    2.039847141    1.925306078    1.888324106    3.710527636    10.06240789 0.004804090141 0.0002551347441 0.0008224187707 
46           NO_ID    1.766204285    1.614409658    1.502209488    1.887866682    2.075013319    1.757277234    1.924800309    2.305297769   0.9795908336            100            100            100 
47           NO_ID    1.768923184    1.710660094    1.590122009    1.948501017    1.792112366    1.939812526    1.999803871    11.84202485    7.190088164 0.007000373177 0.0004278937477 0.001015033777 
48           NO_ID    1.769381769    1.671514047    1.128616433    1.875245388    1.880918812    2.070383098    1.800274699    1.323689104   0.1048610397   0.5554921585 0.0003073747013 0.0007112152725 
49           NO_ID    1.770122289    1.613659199    1.361173492    1.865476066     2.03200204    2.040139418     1.71672988    7.675251495    8.393477544  0.00380926757 0.001045416799 0.001413337217 
50           NO_ID    1.770166499    1.829585419    1.789246637    1.919390437    1.705438457    1.954640371    1.959298306    2.458538723    4.717365031            100            100            100 
51           NO_ID    1.775853038     1.76078515    1.169838772    1.776512834     2.00260513    1.886470795    2.097687794     2.04117364    9.277244259 0.004260384341 0.0008361425096 0.001218949123 
52           NO_ID    1.778725764    1.700212102      1.3086756    1.819938646    2.030467373    1.806852819    1.860649852    5.303278519     6.93139748 0.002549435675 0.000543997176 0.001157455982 
53           NO_ID     1.77908142    1.698358926    1.602120339    1.859204023    1.850928557    1.850170753    2.069256715    5.560147089    9.302199012 0.004218492916 0.0003727446193 0.0009331233304 
54           NO_ID    1.783494763    1.869187891    1.763707964    2.014541345    1.993381275    1.789966102    1.841366724    5.223510512    4.554127997            100            100            100 
55           NO_ID    1.783945738    1.700922273    1.310948725    1.833099204    2.030666949    2.066541271    1.973973566    10.17560066    7.722191153  0.00528485471 0.0008496610186 0.001415829848 
56           NO_ID    1.788436638    1.664966844    1.781901815    1.723850234    1.736254061    1.827195732    2.044259062    8.319673194    4.633289077            100            100            100 
57           NO_ID     1.79028655    1.613988233    1.673947339    1.948362408     2.07659492    1.989206459    1.978905512    6.751947326    2.300254355 0.002629329987 0.0002548065937 0.0002301086571 
58           NO_ID    1.791919313    1.757985342    1.295132801    1.921371065    1.914431711    2.023965701    1.797499896    4.493616132    11.18833602 0.006157788196 0.001062613343 0.001649444405 
59           NO_ID    1.794327622    1.871307165    1.577767833    1.857135854    1.838566388    2.024452582    1.727373808     1.32419579    3.828291984            100            100            100 
60           NO_ID    1.796210144    1.858663099    1.432306052    1.931772432    2.066979739     1.81049158    1.727950647    4.151591344    11.94233168            100            100            100 
61           NO_ID    1.799426528    1.564310851    1.181587138    2.028846622    1.769532677    1.976001712    1.792957486    10.64642997    9.461799702 0.006267094485 0.001717046813 0.001700247479 
62           NO_ID    1.802401051     1.81544028    1.540640445    2.078537658    1.943602206    1.769063538    1.756254528    1.666027828    6.769846584            100            100            100 
63           NO_ID    1.806532784    1.736010063    1.421017607    1.995323535    1.919763018    2.048556667    1.939313168    5.539830071    11.33100039  0.00651781106 0.001291199788 0.001701511319 
64           NO_ID    1.808208057    1.888588347    1.465105533    1.703790644     1.80846365    1.766539371    1.994107392    2.040256782    9.952110014            100            100            100 
65           NO_ID    1.810027771    1.529213556    1.156538884    1.997727608    2.030336065    1.704498029    1.776287113    7.986194231    7.485243037            100            100            100 
66           NO_ID    1.810876189    1.659926329    1.764551151    2.091489286    2.053764345    1.759115722    1.752718565     3.82595107    9.030353982            100            100            100 
67           NO_ID    1.813804639    1.575700981    1.410329757    1.967969633    1.902391442    1.817834191    1.701930818    8.720517965  0.01979389229            100            100            100 
68           NO_ID    1.814858401    1.536926172    1.783367908    1.935416631    1.960265955    2.038672182     1.79436124    2.450503814     1.03852347            100            100            100 
69           NO_ID    1.815931626    1.741338849     1.28036901    1.892606771    2.074636057    1.812941634     1.96441304    6.961044009    6.046230814 0.002379436469 0.0003476964407 0.001050423362 
70           NO_ID      1.8181427    1.740681286    1.688090598    2.094405183    1.711639917    2.053983158    2.079193234   0.9937954438      2.4036781 0.001838355283 0.0007895491516 7.58541874e-05 
71           NO_ID    1.818149909    1.618926776    1.536397652    2.099684094     2.02857698    1.833949342    2.023489085    10.28413579    3.856691062 0.003116808656 0.0004332692113 0.0008625627037 
72           NO_ID    1.818793435    1.743075002    1.499853019    2.075607368    1.732785529    1.710856601    1.713882819    11.22675727    11.65369904 0.009764173923 0.001174623846 0.001655429606 
73           NO_ID    1.819875304    1.757907638     1.60805431    2.059544909    1.965197629    1.978096483    2.043770286    7.199069216     6.97534158 0.002917016742 3.950980965e-05 0.0007004138722 
74           NO_ID    1.820080625    1.771687568     1.28304133    1.977326126     2.01745667     1.88423413    1.802610748    8.174017387    11.57589912 0.007728924308 0.001327784222 0.001871845217 
75           NO_ID    1.821692434    1.518526293    1.732141376    1.976956272     2.07899741    1.870782899    1.788105078    3.574186643    3.224597539            100            100            100 
76           NO_ID    1.821990089    1.798336765    1.793648847     1.84884625    1.957808913      1.7944799    1.707102896   0.4796472455     2.38711737            100            100            100 
77           NO_ID    1.823640228    1.684913328    1.632771741    2.008260784    1.733690661    1.907412152    1.755314678    4.814132655     6.78944805 0.002215120237 2.151572409e-06 0.0006368136439 
78           NO_ID    1.824512431    1.857266224    1.781754837    1.866364518    1.701118938    2.081817204     2.06127991    9.722339048    2.108110803            100            100            100 
79           NO_ID    1.826563777    1.596280272    1.397354307    2.010336283    2.098811009    2.087249155    1.995072044    7.122048087    11.52673322            100            100            100 
80           NO_ID    1.826690461    1.840502902    1.334432074     1.78829249    1.982825605    1.739889162    1.955878994    9.615454891    3.708420331            100            100            100 
81           NO_ID     1.82714443    1.656159668    1.491639496    1.830639798    2.079822605    1.718047033    2.026451459    2.334070076    3.378026662            100            100            100 
82           NO_ID    1.829355661    1.831782551    1.490460402     1.92287784    2.092235634     1.90765555    2.075058747    7.334437556    8.284098234            100            100            100 
83           NO_ID    1.829744676    1.745999143    1.346530134     1.70851974    1.990865101    2.007271638    1.765843703    2.493369476    8.556279104            100            100            100 
84           NO_ID    1.830255271    1.887609619     1.17124461    1.946308578    1.824193763    1.863543532    2.033928458     11.8733639    10.69627074            100            100            100 
85           NO_ID    1.833297208    1.509873629     1.22566097    1.957398744    1.788599393    1.972018371    2.076641943    6.256141174    6.074572292            100            100            100 
86           NO_ID    1.833368462    1.571326804    1.253786396    1.950869392    2.014975902    1.920471931    1.787509877    7.983347524   0.2543841844            100            100            100 
87           NO_ID    1.833677118    1.569450005    1.279593225    1.706325351    1.777594954    1.750704276      1.7530906    7.126325098    6.845850162            100            100            100 
88           NO_ID     1.83643141    1.708676744    1.117638366    2.038917153    1.992171506    2.079266957    2.018178847    6.201385542    8.179446966 0.003133330812 0.001115671556 0.001475648864 
89           NO_ID    1.836584144    1.622832327    1.253334789    1.971585033    1.892998826    1.717205298    1.965440254   0.3716778608   0.6793126504            100            100            100 
90           NO_ID    1.840212186    1.815556793      1.2324696    1.842358445    1.722089577    2.011706977    2.025797078    9.522393341     3.94409984 0.004505013543 0.0001911856608 0.0009410857293 
91           NO_ID    1.840619836    1.888148032     1.24576643    1.771625271    1.817503693    1.715077654    1.994745501    10.21144599   0.2193986458            100            100            100 
92           NO_ID    1.843113815    1.578682069    1.329208424    1.724693341    1.980860103    1.721592372    2.050412727    6.319436099    6.685746513            100            100            100 
93           NO_ID    1.843314435    1.510815333    1.164115573     1.88370173    2.022326656    2.096036882    1.947068177    1.704221713      9.2527716            100            100            100 
94           NO_ID    1.847769032    1.716021781    1.782675184    2.010021022    1.742960948    2.015046166    1.790313983    1.559682292    5.513175194            100            100            100 
95           NO_ID    1.847932554    1.825584013    1.591609256    1.779932857    2.077339843    1.751413915    1.857100573    1.325751896   0.5858802072            100            100            100 
96           NO_ID    1.848745745    1.592239283    1.293651927    1.876335913    1.825179626    1.783651988    1.702947696    5.420920911    8.446025562            100            100            100 
97           NO_ID    1.849618151    1.662782187    1.451572797    1.798223046    2.022961736    2.010066173    1.864141307    10.91422291    2.563136678 0.003286250073 0.0004918806981 0.0009578847004 
98           NO_ID    1.851175252    1.777455931    1.724222534    1.997304197    2.047578219     1.77035779    1.746546192    3.391628563  0.07079487856            100            100            100 
99           NO_ID    1.851220321    1.570132625    1.511864441    1.817485205    1.949077145    1.730296941    1.839284349     7.61049656    1.043039924            100            100            100 
100          NO_ID     1.85259296    1.798389642    1.798883322    1.883837114    1.810107518    1.782963111    1.713853297    11.54985695    11.09343483            100            100            100 
101          NO_ID    1.859370692    1.675354626    1.174793803    2.015775708    1.928062837    1.868322058    1.922335977    5.574254843    8.267052595            100            100            100 
102          NO_ID    1.860179549    1.609167431    1.215356958    1.740845694    1.875371717     1.88032792    1.970679687    10.89715197    4.660237158            100            100            100 
103          NO_ID    1.862523869    1.526264341    1.124951033    2.032789038    2.014652638    2.018507693    1.761324947    5.438771219    5.663722529            100            100            100 
104          NO_ID    1.867259223    1.551442392    1.572916421    2.005573472    1.903157151    1.983275906    1.897870727     11.1790775  0.03833979743   0.2335789584 0.0003680771034 0.0008472811654 
105          NO_ID    1.868440956     1.63695049     1.69198693    1.993558465    1.829974864    1.959636024    1.780735903    11.39388575    10.84806089            100            100            100 
106          NO_ID    1.869327628    1.793201071    1.171021541    1.987254965    1.719764848     1.83686401    1.757171712    9.903033937    4.070250561 0.004764227383 0.0005696709828  0.00107818661 
107          NO_ID    1.869969675    1.524953879     1.55248186    1.904841739    2.043843792    2.018830797    2.067245506    4.912365146    3.579381523            100            100            100 
108          NO_ID    1.870958632    1.517931388    1.773379089    1.721486597    1.826139445    2.073376398     1.93011833    3.897902662    2.455201435            100            100            100 
109          NO_ID    1.872203875    1.511778846    1.400485455    1.704715261    1.806106468    1.843013139    1.977725452    7.897269648    8.447385794            100            100            100 
110          NO_ID    1.872385167    1.745445105    1.243452457    1.724726337     1.79607998    1.708979115     2.09311763    8.345299186    10.08066305 0.005836284825 0.001141042427 0.001617415439 
111          NO_ID    1.872715646    1.864403061    1.173335941    1.798816735    1.869943221    1.973757098    1.876188983    8.141856907    7.178551888 0.003614440195 0.0005027518118 0.001111796923 
112          NO_ID    1.875856974    1.703138536    1.269463921     1.86052341    1.959403063    1.797482427    1.902034772    5.886988657    8.788723914            100            100            100 
113          NO_ID    1.877796871    1.852742258    1.528614578    1.957524793      1.9678221    1.916814355     1.82306121     1.75411084    6.882602823 0.002114535485 0.000169600968 0.0006970635619 
114          NO_ID     1.87894452    1.694945832    1.138148503    1.704606073    1.704471057    1.812222277     1.88360103     6.72198034     1.96564469            100            100            100 
115          NO_ID    1.879642877    1.744704626    1.592229547    1.708374466    1.912411699    2.023988092     2.08689326    4.591899177    8.373189517            100            100            100 
116          NO_ID    1.880608228    1.574409362    1.233543303    1.804018468    1.933780054    1.951665085    1.846757784    4.486672849    2.391837661            100            100            100 
117          NO_ID    1.881245204    1.505030391    1.695907703    1.766454507    2.063918667    1.993360607    1.976816885    2.879789736   0.5576307907            100            100            100 
118          NO_ID    1.881258081    1.762571332    1.455318504    1.823115148    1.915115451    1.935592831     2.09709629    10.47503545    3.649871904 0.002944927487 0.0002247703719 0.0008728094988 
119          NO_ID    1.886886316    1.513672644    1.311580035    1.831620131    1.709185789    2.084467754    1.905455867   0.6893745105    6.689082331 0.002453775141 0.001082696009 0.001355363448 
120          NO_ID    1.887317949    1.559592774    1.253932937    1.827175432    1.793756204    2.000370902    1.811224644     4.42346922    3.144072434            100            100            100 
121          NO_ID    1.887994445    1.511137871    1.576354314    1.946496858     2.03465482    1.745598766    1.887784371    4.677001098    3.164905078            100            100            100 
122          NO_ID    1.889710527    1.682369162    1.166982039    2.041439713    2.077600034    1.778036495      1.9837601    3.691434683    3.883552536            100            100            100 
123          NO_ID    1.889717516     1.82775575    1.567313226    1.952202488    1.890879016    1.844116189    1.823334003    11.14699717    4.050026666 0.005939643698 2.703511204e-05 0.0008174211386 
124          NO_ID    1.893838017    1.579372208    1.207151239    1.873767357    1.941896077    1.787493621    1.888025091    5.240553452  0.06438776295            100            100            100 
125          NO_ID    1.894829137    1.612159605    1.171813795    1.721144072    1.855867025    1.731355977    1.758968562    4.878097294      10.933967            100            100            100 
126          NO_ID    1.895230872    1.539761044    1.699060677    1.845447789    1.751415257    1.772686269    1.789413421    4.400312418    11.36727376 0.005311179011 0.0009763721381 0.001250763669 
127          NO_ID    1.897621085    1.657754001    1.373751855    1.849590138      1.7052886    2.086625162     1.96673888    3.114992817    11.60371101 0.007914511514 0.002227561095 0.002370752803 
128          NO_ID    1.902178034     1.79061613    1.670008926    2.029787767    1.901265845    1.867729973    1.730033416     3.39580659    8.287874477 0.002308965796 0.0003005317853 0.0005259606397 
129          NO_ID    1.903216836    1.545840206    1.309960148    1.811642556     1.86753264     1.83850352    1.772866199    1.334667352    3.525027916            100            100            100 
130          NO_ID    1.903346888    1.869596522    1.622148462    1.933678417    2.015482262    1.986768476    1.764966564    3.873057645   0.5484065006 0.001680642164 0.001128657762 2.911876461e-05 
131          NO_ID     1.90554016    1.731850846    1.235401434    1.801452009    2.065527965    1.846822253     1.90407671    11.15559946    6.732516225 0.003236957304 0.0006529157579 0.001169900581 
132          NO_ID    1.907305604    1.768637442    1.130560683    2.038775598    1.842991187    1.874189526    1.954906595    11.85134832     4.37745888  0.00718797519 0.001031689198 0.001474549963 
133          NO_ID    1.909525225    1.590423133    1.413241174    1.919594954    2.053299213    1.969582437    1.852918223   0.2424350159    11.72353802            100            100            100 
134          NO_ID    1.909650205    1.784579256    1.666658734    1.714227546    2.094607027    2.053018548     1.74653548    8.770039043    8.500638372            100            100            100 
135          NO_ID     1.90990668    1.884444443     1.70207597    1.896697047    2.093285943    1.704982062    2.088494358     2.64221567      10.255712            100            100            100 
136          NO_ID    1.910011121    1.598444031    1.725691949    2.032454704    1.810708918    2.025554378    1.865104175    10.95043303    3.753525246            100            100            100 
137          NO_ID    1.910755487    1.778506073    1.475030505    1.989540603    1.979195748    1.770020126    1.945648158    1.029851787    5.107955069 0.001755932161 6.305318776e-05 0.0006753061316 
138          NO_ID     1.91154039     1.73572061    1.235594179    2.047215409    1.980141477    2.002655563     2.02029203    9.263603505    7.570235094 0.003573887036 0.0008796648313 0.001365243255 
139          NO_ID    1.911717876    1.583601213    1.502528321    1.974887714    1.986818049    1.975856389    2.094864941    11.95381816    1.301670872  0.02817687112 0.0008010118382 0.001097319459 
