# WIEN2k Zinc blende structures- V0 (A^3/atom), B0, B'0    Kevin Garrity
# Note: 8 atoms per conventional cell for zincblende structure
## Converted to lattice constant below (in A)

AgS    23.14595 58.83639 5.673
AlP    20.90164 82.50173 3.714
AuS    22.73188 75.08151 6.189
BaS    43.71589 24.95271 -2.862
BeS    14.51660 93.00222 3.807
BP    11.77000 161.68991 3.596
CaS    31.36946 38.98093 3.972
CdS    26.10024 53.67571 4.585
CoS    15.33789 126.50462 5.381
CrS    16.50590 121.67898 3.207
CsBr    69.15310 8.47458 -4.204
CSi    10.50197 212.71678 3.692
CuS    17.77147 84.39600 4.397
FeS    15.12759 138.36361 4.707
GaAs    23.73390 60.02863 5.161
GaBi    33.88067 36.29721 4.977
GaN    11.74394 172.53433 4.360
GaP    20.87406 77.14480 4.303
GaSb    30.03448 45.28038 4.730
GeSn    30.04464 45.61633 4.264
HfS    22.97603 95.87768 5.346
HgS    27.07583 53.17365 -0.814
InP    26.46363 59.80775 4.597
IrS    18.38514 153.64959 4.848
LaP    36.55067 45.95813 1.301
LiBr    25.77205 19.47541 3.254
MgS    23.16051 55.17329 3.970
MnS    15.49331 136.06125 5.460
MoS    19.05529 136.54769 4.580
NaBr    36.49439 13.98951 7.383
NaCl    30.71789 16.64395 4.293
NaF    17.22501 31.56655 4.621
NaI    46.16686 10.66563 4.122
NbS    20.89204 120.58419 5.614
NiS    16.11607 107.72543 4.419
OsS    17.67785 178.01700 5.109
PdS    20.05400 92.24109 5.835
PtS    19.95055 114.84749 5.195
ReS    17.99580 177.80650 4.793
RhS    18.39427 125.27522 5.309
RuS    17.69864 146.80533 5.382
ScP    26.11755 63.89302 3.783
SiGe    21.95784 74.14679 4.560
SnPb    40.63500 30.33528 4.160
SrS    37.20453 32.47610 5.547
TaS    20.64015 136.76908 3.014
TcS    17.92409 150.71134 4.810
TiS    20.25109 93.68038 2.575
TlP    28.64234 45.47008 5.716
VS    18.01523 108.25813 4.471
WS    19.04538 157.06392 4.280
YP    31.16335 55.90114 3.770
ZnO    12.31847 127.06315 4.159
ZnS    20.15161 70.95165 7.492
ZnSe    23.65043 57.12750 4.030
ZnTe    29.60572 43.15039 4.287
ZrS    23.81116 90.77275 4.237


AgS   5.6997393950823065
AlP   5.509220017326132
AuS   5.665546137533342
BaS   7.045466763615174
BeS   4.878859358958397
BP   4.549414246536871
CaS   6.307622251544261
CdS   5.932596746783015
CoS   4.969185415741221
CrS   5.092250180083406
CsBr   8.20919452486728
CSi   4.379793016497132
CuS   5.219206095651502
FeS   4.946369749261555
GaAs   5.747597736270578
GaBi   6.471634660903573
GaN   4.546054140539747
GaP   5.506795787011062
GaSb   6.216844930962696
GeSn   6.2175458589584025
HfS   5.685757403586574
HgS   6.005611786708996
InP   5.960002852722986
IrS   5.278602706471073
LaP   6.637355965725951
LiBr   5.907625876003004
MgS   5.700934288218825
MnS   4.985913417575465
MoS   5.341974983346399
NaBr   6.633947525821954
NaCl   6.2636448133727685
NaF   5.165152596008855
NaI   7.174750030748033
NbS   5.50837643740672
NiS   5.051841435439089
OsS   5.210025039084007
PdS   5.43371679412733
PtS   5.424357275538079
ReS   5.241075085822403
RhS   5.279476340781334
RuS   5.212066652110366
ScP   5.933907980646161
SiGe   5.6004965546084255
SnPb   6.875908419906637
SrS   6.676701133288568
TaS   5.486149170322353
TcS   5.234104240453656
TiS   5.451459587183305
TlP   6.119268285081986
VS   5.242960663955819
WS   5.341048763698509
YP   6.293777344467109
ZnO   4.619010176308879
ZnS   5.442518477763979
ZnSe   5.740851893131826
ZnTe   6.187119983463099
ZrS   5.753827621621345

