,,,,,,,
GAOPAW,,,,,,,
GBRV,Average error with respect to all-electron calculations,,,,,,
JTH,,,,,,,
,Lattice constant (%),Delta Factor,Phonons (THz),Band gap (eV),Magnetization (%),Bulk modulus (%),Walltime (s)
H,,,,,,,
,0.482,,1.707,0.05,,2.922,107.708
,,,,,,,
Li,,,,,,,
,0.283,0.282,0.45,0.033,,,15.286
,,,,,,,
Be,,,,,,,
,1.209,0.114,0.825,0.026,,,12.744
,,,,,,,
B,,,,,,,
,2.611,0.327,1.989,0.1,,,28.34
,,,,,,,
C,,,,,,,
,1.343,0.131,0.617,0.14,,,125.516
,,,,,,,
N,,,,,,,
,2.662,0.927,0.983,0.01,,,86.6
,,,,,,,
O,,,,,,,
,0.347,0.814,1.473,0.055,,,81.064
,,,,,,,
F,,,,,,,
,0.525,0.386,0.465,0.18,,,23.138
,,,,,,,
Na,,,,,,,
,0.717,0.099,1.282,0.02,,,39.515
,,,,,,,
Mg,,,,,,,
,0.119,0.325,1.473,0.05,,,17.598
,,,,,,,
Al,,,,,,,
,0.07,0.338,0.15,0.07,,1.672,17.462
,,,,,,,
Si,,,,,,,
,0.08,0.153,0.376,0.105,,,21.168
,,,,,,,
P,,,,,,,
,2.116,0.031,0.363,0.03,,,90.175
,,,,,,,
S,,,,,,,
,0.554,0.342,0.272,0.015,,,78.89
,,,,,,,
Cl,,,,,,,
,0.782,0.026,1.537,0.02,,,47.67
,,,,,,,
K,,,,,,,
,1.225,,2.572,0.09,,2.572,51.763
,,,,,,,
Ca,,,,,,,
,0.2,0.378,0.878,0.008,,,31.295
,,,,,,,
Sc,,,,,,,
,0.484,0.55,0.851,0.15,,,48.62
,,,,,,,
Ti,,,,,,,
,1.202,0.826,0.805,0.038,,,188.083
,,,,,,,
V,,,,,,,
,0.739,1.074,0.682,0.281,,,50.402
,,,,,,,
Cr,,,,,,,
,0.075,1.019,0.593,,3.093,,21.178
,,,,,,,
Mn,,,,,,,
,0.057,1.059,3.197,,0.783,,17.404
,,,,,,,
Fe,,,,,,,
,0.619,1.1,0.19,,0.522,,30.866
,,,,,,,
Co,,,,,,,
,1.279,1.044,0.444,,9.267,,51.264
,,,,,,,
Ni,,,,,,,
,0.337,0.447,0.253,,43.407,,75.484
,,,,,,,
Cu,,,,,,,
,0.559,0.322,0.736,0.045,,,29.457
,,,,,,,
Zn,,,,,,,
,0.318,0.814,0.383,0.018,,,22.414
,,,,,,,
Ga,,,,,,,
,0.289,0.458,0.468,0.073,,,39.163
,,,,,,,
Ge,,,,,,,
,0.177,0.348,0.839,0.002,,,625.908
,,,,,,,
As,,,,,,,
,0.653,0.458,0.265,0.125,,,31.46
,,,,,,,
Se,,,,,,,
,0.412,0.299,0.153,0.019,,,52.54
,,,,,,,
Br,,,,,,,
,0.391,0.372,0.755,0.252,,,125.613
,,,,,,,
Rb,,,,,,,
,,,,,,,
,,,,,,,
Sr,,,,,,,
,,,,,,,
,,,,,,,
Y,,,,,,,
,,,,,,,
,,,,,,,
Zr,,,,,,,
,,,,,,,
,,,,,,,
Nb,,,,,,,
,,,,,,,
,,,,,,,
Mo,,,,,,,
,,,,,,,
,,,,,,,
Tc,,,,,,,
,,,,,,,
,,,,,,,
Ru,,,,,,,
,,,,,,,
,,,,,,,
Rh,,,,,,,
,,,,,,,
,,,,,,,
Pd,,,,,,,
,,,,,,,
,,,,,,,
Ag,,,,,,,
,,,,,,,
,,,,,,,
Cd,,,,,,,
,,,,,,,
,,,,,,,
In,,,,,,,
,,,,,,,
,,,,,,,
Sn,,,,,,,
,,,,,,,
,,,,,,,
Sb,,,,,,,
,,,,,,,
,,,,,,,
Te,,,,,,,
,,,,,,,
,,,,,,,
I,,,,,,,
,,,,,,,
,,,,,,,
Cs,,,,,,,
,,,,,,,
,,,,,,,
Ba,,,,,,,
,,,,,,,
,,,,,,,
La,,,,,,,
,,,,,,,
,,,,,,,
Hf,,,,,,,
,,,,,,,
,,,,,,,
Ta,,,,,,,
,,,,,,,
,,,,,,,
W,,,,,,,
,,,,,,,
,,,,,,,
Re,,,,,,,
,,,,,,,
,,,,,,,
Os,,,,,,,
,,,,,,,
,,,,,,,
Ir,,,,,,,
,,,,,,,
,,,,,,,
Pt,,,,,,,
,,,,,,,
,,,,,,,
Au,,,,,,,
,,,,,,,
,,,,,,,
Hg,,,,,,,
,,,,,,,
,,,,,,,
Tl,,,,,,,
,,,,,,,
,,,,,,,
Pb,,,,,,,
,,,,,,,
,,,,,,,
Bi,,,,,,,
,,,,,,,
,,,,,,,
Po,,,,,,,
